%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1647529537577380948,1500,1500,1500,1500,1500,1500,1500,1500
1647529537796289448,1500,1500,1500,1500,1500,1500,1500,1500
1647529538072305240,1500,1500,1426,1500,1500,1500,1500,1500
1647529538090222910,1500,1500,1426,1500,1500,1500,1500,1500
1647529538113459000,1500,1500,1426,1500,1500,1500,1500,1500
1647529538131941424,1500,1500,1426,1500,1500,1500,1500,1500
1647529538152129952,1500,1500,1426,1500,1500,1500,1500,1500
1647529538171089709,1500,1500,1426,1500,1500,1500,1500,1500
1647529538190291778,1500,1500,1426,1500,1500,1500,1500,1500
1647529538212816531,1500,1500,1426,1500,1500,1500,1500,1500
1647529538233251333,1500,1500,1425,1500,1500,1500,1500,1500
1647529538253587620,1500,1500,1425,1500,1500,1500,1500,1500
1647529538268051839,1500,1500,1425,1500,1500,1500,1500,1500
1647529538288573152,1500,1500,1425,1500,1500,1500,1500,1500
1647529538307311052,1500,1500,1425,1500,1500,1500,1500,1500
1647529538330629844,1500,1500,1426,1500,1500,1500,1500,1500
1647529538352045757,1500,1500,1426,1500,1500,1500,1500,1500
1647529538366996231,1500,1500,1426,1500,1500,1500,1500,1500
1647529538390451218,1500,1500,1426,1500,1500,1500,1500,1500
1647529538412187367,1500,1500,1426,1500,1500,1500,1500,1500
1647529538430841918,1500,1500,1426,1500,1500,1500,1500,1500
1647529538452828155,1500,1500,1426,1500,1500,1500,1500,1500
1647529538473736556,1500,1500,1426,1500,1500,1500,1500,1500
1647529538494112850,1500,1500,1426,1500,1500,1500,1500,1500
1647529538514096353,1500,1500,1426,1500,1500,1500,1500,1500
1647529538534154649,1500,1500,1426,1500,1500,1500,1500,1500
1647529538552876094,1500,1500,1426,1500,1500,1500,1500,1500
1647529538566791535,1500,1500,1426,1500,1500,1500,1500,1500
1647529538585943244,1500,1500,1426,1500,1500,1500,1500,1500
1647529538607584988,1500,1500,1426,1500,1500,1500,1500,1500
1647529538627691513,1500,1500,1426,1500,1500,1500,1500,1500
1647529538647526773,1500,1500,1426,1500,1500,1500,1500,1500
1647529538666613327,1500,1500,1426,1500,1500,1500,1500,1500
1647529538684933327,1500,1500,1426,1500,1500,1500,1500,1500
1647529538706662171,1500,1500,1426,1500,1500,1500,1500,1500
1647529538726038087,1500,1500,1426,1500,1500,1500,1500,1500
1647529538745647819,1500,1500,1426,1500,1500,1500,1500,1500
1647529538762972840,1500,1500,1426,1500,1500,1500,1500,1500
1647529538784998982,1500,1500,1426,1500,1500,1500,1500,1500
1647529538803206676,1500,1500,1426,1500,1500,1500,1500,1500
1647529538825079322,1500,1500,1426,1500,1500,1500,1500,1500
1647529538840765492,1500,1500,1426,1500,1500,1500,1500,1500
1647529538860249508,1500,1500,1426,1500,1500,1500,1500,1500
1647529538882161587,1500,1500,1426,1500,1500,1500,1500,1500
1647529538903907216,1500,1500,1426,1500,1500,1500,1500,1500
1647529538920829403,1500,1500,1427,1500,1500,1500,1500,1500
1647529538942139104,1500,1500,1427,1500,1500,1500,1500,1500
1647529538963207066,1500,1500,1427,1500,1500,1500,1500,1500
1647529538984690126,1500,1500,1427,1500,1500,1500,1500,1500
1647529538998618897,1500,1500,1427,1500,1500,1500,1500,1500
1647529539024143607,1500,1500,1427,1500,1500,1500,1500,1500
1647529539043907257,1500,1500,1427,1500,1500,1500,1500,1500
1647529539064079544,1500,1500,1427,1500,1500,1500,1500,1500
1647529539084060330,1500,1500,1427,1500,1500,1500,1500,1500
1647529539104028182,1500,1500,1427,1500,1500,1500,1500,1500
1647529539128053364,1500,1500,1427,1500,1500,1500,1500,1500
1647529539148065118,1500,1500,1427,1500,1500,1500,1500,1500
1647529539168551079,1500,1500,1427,1500,1500,1500,1500,1500
1647529539186711810,1500,1500,1427,1500,1500,1500,1500,1500
1647529539206398236,1500,1500,1427,1500,1500,1500,1500,1500
1647529539226492045,1500,1500,1428,1500,1500,1500,1500,1500
1647529539245512758,1500,1500,1428,1500,1500,1500,1500,1500
1647529539264531069,1500,1500,1428,1500,1500,1500,1500,1500
1647529539283861037,1500,1500,1428,1500,1500,1500,1500,1500
1647529539306417873,1500,1500,1428,1500,1500,1500,1500,1500
1647529539327034563,1500,1500,1428,1500,1500,1500,1500,1500
1647529539353437475,1500,1500,1428,1500,1500,1500,1500,1500
1647529539368704040,1500,1500,1428,1500,1500,1500,1500,1500
1647529539390193619,1500,1500,1428,1500,1500,1500,1500,1500
1647529539406670248,1500,1500,1428,1500,1500,1500,1500,1500
1647529539427696139,1500,1500,1429,1500,1500,1500,1500,1500
1647529539450760418,1500,1500,1429,1500,1500,1500,1500,1500
1647529539464912835,1500,1500,1429,1500,1500,1500,1500,1500
1647529539483512248,1500,1500,1429,1500,1500,1500,1500,1500
1647529539504484346,1500,1500,1429,1500,1500,1500,1500,1500
1647529539526381813,1500,1500,1429,1500,1500,1500,1500,1500
1647529539545442530,1500,1500,1429,1500,1500,1500,1500,1500
1647529539569406698,1500,1500,1429,1500,1500,1500,1500,1500
1647529539587924430,1500,1500,1429,1500,1500,1500,1500,1500
1647529539609177400,1500,1500,1429,1500,1500,1500,1500,1500
1647529539627146540,1500,1500,1430,1500,1500,1500,1500,1500
1647529539647323755,1500,1500,1430,1500,1500,1500,1500,1500
1647529539664315668,1500,1500,1430,1500,1500,1500,1500,1500
1647529539680816000,1500,1500,1430,1500,1500,1500,1500,1500
1647529539703748905,1500,1500,1430,1500,1500,1500,1500,1500
1647529539722977327,1500,1500,1430,1500,1500,1500,1500,1500
1647529539744742480,1500,1500,1430,1500,1500,1500,1500,1500
1647529539761907293,1500,1500,1430,1500,1500,1500,1500,1500
1647529539781068128,1500,1500,1430,1500,1500,1500,1500,1500
1647529539806866309,1500,1500,1430,1500,1500,1500,1500,1500
1647529539821947092,1500,1500,1431,1500,1500,1500,1500,1500
1647529539842336136,1500,1500,1431,1500,1500,1500,1500,1500
1647529539862001178,1500,1500,1431,1500,1500,1500,1500,1500
1647529539880258985,1500,1500,1431,1500,1500,1500,1500,1500
1647529539900750640,1500,1500,1431,1500,1500,1500,1500,1500
1647529539919650021,1500,1500,1431,1500,1500,1500,1500,1500
1647529539945301836,1500,1500,1431,1500,1500,1500,1500,1500
1647529539958558307,1500,1500,1431,1500,1500,1500,1500,1500
1647529539982866877,1500,1500,1431,1500,1500,1500,1500,1500
1647529540000628807,1500,1500,1431,1500,1500,1500,1500,1500
1647529540026546546,1500,1500,1432,1500,1500,1500,1500,1500
1647529540052792978,1500,1500,1432,1500,1500,1500,1500,1500
1647529540068009773,1500,1500,1432,1500,1500,1500,1500,1500
1647529540085022792,1500,1500,1432,1500,1500,1500,1500,1500
1647529540107796893,1500,1500,1432,1500,1500,1500,1500,1500
1647529540130764321,1500,1500,1432,1500,1500,1500,1500,1500
1647529540149882703,1500,1500,1432,1500,1500,1500,1500,1500
1647529540171813888,1500,1500,1432,1500,1500,1500,1500,1500
1647529540189979598,1500,1500,1432,1500,1500,1500,1500,1500
1647529540211725413,1500,1500,1432,1500,1500,1500,1500,1500
1647529540230352819,1500,1500,1433,1500,1500,1500,1500,1500
1647529540255232790,1500,1500,1433,1500,1500,1500,1500,1500
1647529540266618345,1500,1500,1433,1500,1500,1500,1500,1500
1647529540284781966,1500,1500,1433,1500,1500,1500,1500,1500
1647529540305178467,1500,1500,1433,1500,1500,1500,1500,1500
1647529540322282140,1500,1500,1433,1500,1500,1500,1500,1500
1647529540343881136,1500,1500,1433,1500,1500,1500,1500,1500
1647529540368420213,1500,1500,1433,1500,1500,1500,1500,1500
1647529540382241422,1500,1500,1433,1500,1500,1500,1500,1500
1647529540402786541,1500,1500,1433,1500,1500,1500,1500,1500
1647529540424623081,1500,1500,1434,1500,1500,1500,1500,1500
1647529540443083828,1500,1500,1434,1500,1500,1500,1500,1500
1647529540464860543,1500,1500,1434,1500,1500,1500,1500,1500
1647529540483963174,1500,1500,1434,1500,1500,1500,1500,1500
1647529540500851514,1500,1500,1434,1500,1500,1500,1500,1500
1647529540516528203,1500,1500,1435,1500,1500,1500,1500,1500
1647529540534198718,1500,1500,1435,1500,1500,1500,1500,1500
1647529540554421583,1500,1500,1435,1500,1500,1500,1500,1500
1647529540575829267,1500,1500,1435,1500,1500,1500,1500,1500
1647529540594408242,1500,1500,1435,1500,1500,1500,1500,1500
1647529540613227915,1500,1500,1435,1500,1500,1500,1500,1500
1647529540630761836,1500,1500,1435,1500,1500,1500,1500,1500
1647529540654419153,1500,1500,1435,1500,1500,1500,1500,1500
1647529540670078379,1500,1500,1435,1500,1500,1500,1500,1500
1647529540691812081,1500,1500,1435,1500,1500,1500,1500,1500
1647529540714787589,1500,1500,1436,1500,1500,1500,1500,1500
1647529540733415919,1500,1500,1436,1500,1500,1500,1500,1500
1647529540750363867,1500,1500,1436,1500,1500,1500,1500,1500
1647529540771904499,1500,1500,1436,1500,1500,1500,1500,1500
1647529540792004994,1500,1500,1436,1500,1500,1500,1500,1500
1647529540819260903,1500,1500,1436,1500,1500,1500,1500,1500
1647529540832041725,1500,1500,1436,1500,1500,1500,1500,1500
1647529540858349633,1500,1500,1436,1500,1500,1500,1500,1500
1647529540875741635,1500,1500,1436,1500,1500,1500,1500,1500
1647529540892898557,1500,1500,1436,1500,1500,1500,1500,1500
1647529540920091842,1500,1500,1437,1500,1500,1500,1500,1500
1647529540934820836,1500,1500,1437,1500,1500,1500,1500,1500
1647529540956824695,1500,1500,1437,1500,1500,1500,1500,1500
1647529540969948525,1500,1500,1437,1500,1500,1500,1500,1500
1647529540989336918,1500,1500,1437,1500,1500,1500,1500,1500
1647529541009782812,1500,1500,1437,1500,1500,1500,1500,1500
1647529541030989925,1500,1500,1437,1500,1500,1500,1500,1500
1647529541052335015,1500,1500,1437,1500,1500,1500,1500,1500
1647529541071989422,1500,1500,1437,1500,1500,1500,1500,1500
1647529541091754881,1500,1500,1437,1500,1500,1500,1500,1500
1647529541116711885,1500,1500,1438,1500,1500,1500,1500,1500
1647529541135903697,1500,1500,1438,1500,1500,1500,1500,1500
1647529541156194573,1500,1500,1438,1500,1500,1500,1500,1500
1647529541175168171,1500,1500,1438,1500,1500,1500,1500,1500
1647529541194596734,1500,1500,1438,1500,1500,1500,1500,1500
1647529541215485764,1500,1500,1438,1500,1500,1500,1500,1500
1647529541237079139,1500,1500,1438,1500,1500,1500,1500,1500
1647529541256205845,1500,1500,1438,1500,1500,1500,1500,1500
1647529541276911986,1500,1500,1438,1500,1500,1500,1500,1500
1647529541292725251,1500,1500,1438,1500,1500,1500,1500,1500
1647529541316469911,1500,1500,1439,1500,1500,1500,1500,1500
1647529541339074462,1500,1500,1439,1500,1500,1500,1500,1500
1647529541359429487,1500,1500,1439,1500,1500,1500,1500,1500
1647529541381093369,1500,1500,1439,1500,1500,1500,1500,1500
1647529541402534837,1500,1500,1439,1500,1500,1500,1500,1500
1647529541425505470,1500,1500,1440,1500,1500,1500,1500,1500
1647529541444203567,1500,1500,1440,1500,1500,1500,1500,1500
1647529541462471266,1500,1500,1440,1500,1500,1500,1500,1500
1647529541481828701,1500,1500,1440,1500,1500,1500,1500,1500
1647529541504319503,1500,1500,1440,1500,1500,1500,1500,1500
1647529541526046265,1500,1500,1440,1500,1500,1500,1500,1500
1647529541547153879,1500,1500,1440,1500,1500,1500,1500,1500
1647529541566482581,1500,1500,1440,1500,1500,1500,1500,1500
1647529541584562986,1500,1500,1440,1500,1500,1500,1500,1500
1647529541601129492,1500,1500,1440,1500,1500,1500,1500,1500
1647529541618027547,1500,1500,1440,1500,1500,1500,1500,1500
1647529541639117954,1500,1500,1440,1500,1500,1500,1500,1500
1647529541658479898,1500,1500,1440,1500,1500,1500,1500,1500
1647529541681378585,1500,1500,1440,1500,1500,1500,1500,1500
1647529541704470828,1500,1500,1440,1500,1500,1500,1500,1500
1647529541720110587,1500,1500,1441,1500,1500,1500,1500,1500
1647529541739596026,1500,1500,1441,1500,1500,1500,1500,1500
1647529541761162907,1500,1500,1441,1500,1500,1500,1500,1500
1647529541785540724,1500,1500,1441,1500,1500,1500,1500,1500
1647529541805166591,1500,1500,1441,1500,1500,1500,1500,1500
