%time,field.data
1647528219587303430,-0.101
1647528219609215641,-0.101
1647528219626756913,-0.101
1647528219644238827,-0.101
1647528219664101695,-0.102
1647528219686264110,-0.102
1647528219706222997,-0.102
1647528219724543720,-0.102
1647528219744672793,-0.102
1647528219763010105,-0.105
1647528219784243535,-0.105
1647528219806328143,-0.105
1647528219825702939,-0.105
1647528219846163403,-0.105
1647528219865421060,-0.103
1647528219885906470,-0.103
1647528219903846570,-0.103
1647528219926090136,-0.103
1647528219944904117,-0.103
1647528219965341164,-0.107
1647528219986820625,-0.107
1647528220004075068,-0.107
1647528220024231456,-0.107
1647528220046444609,-0.107
1647528220063329243,-0.101
1647528220085282384,-0.101
1647528220107654957,-0.101
1647528220125308165,-0.101
1647528220146093365,-0.101
1647528220163940458,-0.108
1647528220186507655,-0.108
1647528220206891480,-0.108
1647528220225062115,-0.108
1647528220249468339,-0.108
1647528220265396232,-0.107
1647528220285450103,-0.107
1647528220305609453,-0.107
1647528220325745904,-0.107
1647528220343222670,-0.107
1647528220362839417,-0.104
1647528220385061991,-0.104
1647528220405676674,-0.104
1647528220423600261,-0.104
1647528220445010979,-0.104
1647528220467589026,-0.106
1647528220486120121,-0.106
1647528220505630628,-0.106
1647528220526095470,-0.106
1647528220547199161,-0.106
1647528220565207693,-0.103
1647528220585225826,-0.103
1647528220606388668,-0.103
1647528220625349497,-0.103
1647528220645590451,-0.103
1647528220668560768,-0.111
1647528220685770493,-0.111
1647528220705049556,-0.111
1647528220728294242,-0.111
1647528220744754389,-0.111
1647528220763552197,-0.11
1647528220785358631,-0.11
1647528220805638381,-0.11
1647528220824650776,-0.11
1647528220845374953,-0.11
1647528220869352360,-0.109
1647528220885146165,-0.109
1647528220904295336,-0.109
1647528220926301035,-0.109
1647528220945228021,-0.109
1647528220963052207,-0.107
1647528220985048184,-0.107
1647528221003084498,-0.107
1647528221025216713,-0.107
1647528221045869439,-0.107
1647528221062809650,-0.106
1647528221085574062,-0.106
1647528221105722934,-0.106
1647528221122089144,-0.106
1647528221144386312,-0.106
1647528221163694071,-0.106
1647528221182851191,-0.106
1647528221205559866,-0.106
1647528221224513664,-0.106
1647528221245405044,-0.106
1647528221263441715,-0.105
1647528221285861766,-0.105
1647528221304886160,-0.105
1647528221325407208,-0.105
1647528221345749858,-0.105
1647528221363744152,-0.108
1647528221384972321,-0.108
1647528221406642355,-0.108
1647528221425945857,-0.108
1647528221450391796,-0.101
1647528221470800659,-0.101
1647528221486007998,-0.101
1647528221505189411,-0.101
1647528221526086345,-0.101
1647528221545722726,-0.101
1647528221565077861,-0.103
1647528221585519367,-0.103
1647528221606442286,-0.103
1647528221625179456,-0.103
1647528221645483182,-0.103
1647528221665455883,-0.109
1647528221685599690,-0.109
1647528221705773742,-0.109
1647528221725647537,-0.109
1647528221745557012,-0.109
1647528221769451224,-0.106
1647528221783097153,-0.106
1647528221806080203,-0.106
1647528221826271755,-0.106
1647528221845345483,-0.106
1647528221863993403,-0.103
1647528221884726270,-0.103
1647528221905436872,-0.103
1647528221926147681,-0.103
1647528221944527639,-0.103
1647528221963599318,-0.105
1647528221987987158,-0.105
1647528222005268220,-0.105
1647528222025660920,-0.105
1647528222045484339,-0.105
1647528222063644482,-0.113
1647528222085251169,-0.113
1647528222103226764,-0.113
1647528222125825974,-0.113
1647528222145229166,-0.113
1647528222163515494,-0.107
1647528222184503748,-0.107
1647528222205177693,-0.107
1647528222225464036,-0.107
1647528222246963679,-0.107
1647528222263532077,-0.102
1647528222288145546,-0.102
1647528222305930193,-0.102
1647528222322843677,-0.102
1647528222345199291,-0.102
1647528222362432540,-0.108
1647528222381880491,-0.108
1647528222406096800,-0.108
1647528222431445130,-0.108
1647528222446505769,-0.108
1647528222464828243,-0.104
1647528222485084793,-0.104
1647528222505439963,-0.104
1647528222525533159,-0.104
1647528222545004523,-0.104
1647528222563273587,-0.106
1647528222585287509,-0.106
1647528222607257584,-0.106
1647528222626421095,-0.106
1647528222643548304,-0.106
1647528222662779259,-0.1
1647528222686493907,-0.1
1647528222707950995,-0.1
1647528222725415205,-0.1
1647528222745546425,-0.1
1647528222761990902,-0.102
1647528222784869741,-0.102
1647528222802774256,-0.102
1647528222824451333,-0.102
1647528222845962359,-0.102
1647528222863733958,-0.103
1647528222886388284,-0.103
1647528222904957093,-0.103
1647528222926959297,-0.103
1647528222945721732,-0.103
1647528222966015739,-0.105
1647528222982593561,-0.105
1647528223005931624,-0.105
1647528223028037644,-0.105
1647528223045129186,-0.105
1647528223063199684,-0.109
1647528223085693908,-0.109
1647528223106488268,-0.109
1647528223125169185,-0.109
1647528223145429700,-0.109
1647528223165423402,-0.105
1647528223183771845,-0.105
1647528223205321251,-0.105
1647528223225592104,-0.105
1647528223247198016,-0.105
1647528223263214444,-0.1
1647528223285545061,-0.1
1647528223305478604,-0.1
1647528223323228881,-0.1
1647528223344681234,-0.1
1647528223362959662,-0.108
1647528223385663878,-0.108
1647528223406146723,-0.108
1647528223426158535,-0.108
1647528223445372591,-0.108
1647528223463756775,-0.11
1647528223482474321,-0.11
1647528223500894539,-0.11
1647528223524328325,-0.11
1647528223544447102,-0.11
1647528223561823260,-0.106
1647528223584490703,-0.106
1647528223607076175,-0.106
1647528223625522365,-0.106
1647528223645800237,-0.106
1647528223663872614,-0.102
1647528223684569934,-0.102
1647528223702076113,-0.102
1647528223725871756,-0.102
1647528223744358428,-0.102
1647528223767271702,-0.102
1647528223784922207,-0.102
1647528223807146350,-0.102
1647528223822157864,-0.102
1647528223846519263,-0.102
1647528223864579279,-0.107
1647528223885524454,-0.107
1647528223907976212,-0.107
1647528223922585235,-0.107
1647528223944283064,-0.107
1647528223963242916,-0.109
1647528223983133547,-0.109
1647528224002438283,-0.109
1647528224025175977,-0.109
1647528224042417375,-0.109
1647528224063511153,-0.11
1647528224085689598,-0.11
1647528224102778584,-0.11
1647528224125769272,-0.11
1647528224141667312,-0.11
1647528224164024663,-0.119
1647528224182785596,-0.119
1647528224205948872,-0.119
1647528224224445979,-0.119
1647528224244378890,-0.119
1647528224262559588,-0.132
1647528224285293719,-0.132
1647528224303812915,-0.132
1647528224328283062,-0.132
1647528224344344166,-0.132
1647528224363790858,-0.143
1647528224384348357,-0.143
1647528224402024754,-0.143
1647528224423243767,-0.143
1647528224447231476,-0.143
1647528224462887554,-0.155
1647528224483391438,-0.155
1647528224506374262,-0.155
1647528224523289485,-0.155
1647528224544373665,-0.155
1647528224561769248,-0.163
1647528224584316105,-0.163
1647528224602733867,-0.163
1647528224622648134,-0.163
1647528224645291523,-0.163
1647528224665614635,-0.179
1647528224688002310,-0.179
1647528224702343119,-0.179
1647528224725189775,-0.179
1647528224743378631,-0.179
1647528224762324931,-0.194
1647528224784312036,-0.194
1647528224807786554,-0.194
1647528224825384901,-0.194
1647528224845193262,-0.194
1647528224863149583,-0.207
1647528224888803992,-0.207
1647528224901890815,-0.207
1647528224922392186,-0.207
1647528224943765345,-0.207
1647528224963832249,-0.219
1647528224984374896,-0.219
1647528225004433748,-0.219
1647528225022823366,-0.219
1647528225044314387,-0.219
1647528225064911229,-0.237
1647528225084205043,-0.237
1647528225103540659,-0.237
1647528225125362216,-0.237
1647528225141924454,-0.237
1647528225162723436,-0.248
1647528225181854508,-0.248
1647528225203117849,-0.248
1647528225224201148,-0.248
1647528225244272961,-0.248
1647528225263922953,-0.265
1647528225283092523,-0.265
1647528225304341601,-0.265
1647528225322686595,-0.265
1647528225343572301,-0.265
1647528225363116966,-0.271
1647528225384177044,-0.271
1647528225402841583,-0.271
1647528225422826937,-0.271
1647528225445178735,-0.271
1647528225463726123,-0.295
1647528225489770379,-0.295
1647528225503112331,-0.295
1647528225525637701,-0.295
1647528225543920201,-0.295
1647528225563019890,-0.31
1647528225584865591,-0.31
1647528225605616268,-0.31
1647528225623050832,-0.31
1647528225649517845,-0.31
