%time,field.data
1647527376955171658,-0.091
1647527376975878499,-0.091
1647527376992813768,-0.091
1647527377011997234,-0.091
1647527377034382044,-0.091
1647527377053102129,-0.091
1647527377072707789,-0.091
1647527377093041226,-0.091
1647527377112265760,-0.091
1647527377133748134,-0.092
1647527377153274496,-0.092
1647527377172743534,-0.092
1647527377192816942,-0.092
1647527377213231636,-0.092
1647527377232608360,-0.092
1647527377252704013,-0.092
1647527377276674606,-0.092
1647527377292650936,-0.092
1647527377314129015,-0.092
1647527377334614453,-0.091
1647527377356012340,-0.091
1647527377372685202,-0.091
1647527377392759147,-0.091
1647527377414177377,-0.091
1647527377432459103,-0.095
1647527377453258479,-0.095
1647527377473284850,-0.095
1647527377493010308,-0.095
1647527377512635531,-0.095
1647527377533506911,-0.091
1647527377552050068,-0.091
1647527377573148459,-0.091
1647527377593233238,-0.091
1647527377612867149,-0.091
1647527377632475555,-0.09
1647527377652458512,-0.09
1647527377673014742,-0.09
1647527377694287050,-0.09
1647527377713522940,-0.09
1647527377733817380,-0.093
1647527377751899618,-0.093
1647527377774386091,-0.093
1647527377793428638,-0.093
1647527377813191472,-0.093
1647527377832478722,-0.091
1647527377857753098,-0.091
1647527377875967653,-0.091
1647527377893187058,-0.091
1647527377912851929,-0.091
1647527377938475841,-0.091
1647527377952233190,-0.091
1647527377973644415,-0.091
1647527377994014669,-0.091
1647527378013031214,-0.091
1647527378032723395,-0.095
1647527378055018545,-0.095
1647527378072098630,-0.095
1647527378094651372,-0.095
1647527378111697839,-0.095
1647527378132129239,-0.093
1647527378152706264,-0.093
1647527378173077019,-0.093
1647527378191720800,-0.093
1647527378212259990,-0.093
1647527378232822210,-0.093
1647527378253422957,-0.093
1647527378272532327,-0.093
1647527378292055535,-0.093
1647527378312411602,-0.093
1647527378331804474,-0.092
1647527378352130126,-0.092
1647527378373522004,-0.092
1647527378395974124,-0.092
1647527378413652674,-0.092
1647527378433250463,-0.095
1647527378454387295,-0.095
1647527378474084233,-0.095
1647527378493412629,-0.095
1647527378513944148,-0.095
1647527378536259472,-0.092
1647527378552970566,-0.092
1647527378574696607,-0.092
1647527378593187977,-0.092
1647527378613641763,-0.092
1647527378634225633,-0.093
1647527378653874670,-0.093
1647527378673274547,-0.093
1647527378694462378,-0.093
