%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1647527379739710414,1500,1500,1364,1500,1500,1500,1500,1500
1647527379761096892,1500,1500,1364,1500,1500,1500,1500,1500
1647527379781258244,1500,1500,1364,1500,1500,1500,1500,1500
1647527379801027468,1500,1500,1364,1500,1500,1500,1500,1500
1647527379819844453,1500,1500,1365,1500,1500,1500,1500,1500
1647527379848337121,1500,1500,1365,1500,1500,1500,1500,1500
1647527379862430292,1500,1500,1365,1500,1500,1500,1500,1500
1647527379886208401,1500,1500,1365,1500,1500,1500,1500,1500
1647527379898577120,1500,1500,1365,1500,1500,1500,1500,1500
1647527379922201189,1500,1500,1363,1500,1500,1500,1500,1500
1647527379939859254,1500,1500,1363,1500,1500,1500,1500,1500
1647527379962450862,1500,1500,1363,1500,1500,1500,1500,1500
1647527379980180533,1500,1500,1363,1500,1500,1500,1500,1500
1647527379999122535,1500,1500,1363,1500,1500,1500,1500,1500
1647527380019670024,1500,1500,1365,1500,1500,1500,1500,1500
1647527380039966971,1500,1500,1365,1500,1500,1500,1500,1500
1647527380059716544,1500,1500,1365,1500,1500,1500,1500,1500
1647527380078492230,1500,1500,1365,1500,1500,1500,1500,1500
1647527380099988827,1500,1500,1365,1500,1500,1500,1500,1500
1647527380122981425,1500,1500,1365,1500,1500,1500,1500,1500
1647527380142294493,1500,1500,1365,1500,1500,1500,1500,1500
1647527380159106998,1500,1500,1365,1500,1500,1500,1500,1500
1647527380179791847,1500,1500,1365,1500,1500,1500,1500,1500
1647527380202648135,1500,1500,1365,1500,1500,1500,1500,1500
1647527380218104470,1500,1500,1365,1500,1500,1500,1500,1500
1647527380239215927,1500,1500,1365,1500,1500,1500,1500,1500
1647527380261374296,1500,1500,1365,1500,1500,1500,1500,1500
1647527380280832668,1500,1500,1365,1500,1500,1500,1500,1500
1647527380298182421,1500,1500,1365,1500,1500,1500,1500,1500
1647527380318798825,1500,1500,1366,1500,1500,1500,1500,1500
1647527380338909598,1500,1500,1366,1500,1500,1500,1500,1500
1647527380355892737,1500,1500,1366,1500,1500,1500,1500,1500
1647527380380952024,1500,1500,1366,1500,1500,1500,1500,1500
1647527380401490974,1500,1500,1366,1500,1500,1500,1500,1500
1647527380421004080,1500,1500,1369,1500,1500,1500,1500,1500
1647527380438254535,1500,1500,1369,1500,1500,1500,1500,1500
1647527380457255495,1500,1500,1369,1500,1500,1500,1500,1500
1647527380478836286,1500,1500,1369,1500,1500,1500,1500,1500
1647527380498026130,1500,1500,1369,1500,1500,1500,1500,1500
1647527380519098071,1500,1500,1371,1500,1500,1500,1500,1500
1647527380537743439,1500,1500,1371,1500,1500,1500,1500,1500
1647527380559861679,1500,1500,1371,1500,1500,1500,1500,1500
1647527380578931182,1500,1500,1371,1500,1500,1500,1500,1500
1647527380597295780,1500,1500,1371,1500,1500,1500,1500,1500
1647527380619375970,1500,1500,1374,1500,1500,1500,1500,1500
1647527380641352152,1500,1500,1374,1500,1500,1500,1500,1500
1647527380661356972,1500,1500,1374,1500,1500,1500,1500,1500
1647527380678732749,1500,1500,1374,1500,1500,1500,1500,1500
1647527380700296040,1500,1500,1374,1500,1500,1500,1500,1500
1647527380719274318,1500,1500,1378,1500,1500,1500,1500,1500
1647527380739859304,1500,1500,1378,1500,1500,1500,1500,1500
1647527380759482319,1500,1500,1378,1500,1500,1500,1500,1500
1647527380778968444,1500,1500,1378,1500,1500,1500,1500,1500
1647527380800118944,1500,1500,1378,1500,1500,1500,1500,1500
1647527380819908710,1500,1500,1381,1500,1500,1500,1500,1500
1647527380845588919,1500,1500,1381,1500,1500,1500,1500,1500
1647527380860453289,1500,1500,1381,1500,1500,1500,1500,1500
1647527380880246528,1500,1500,1381,1500,1500,1500,1500,1500
1647527380902909414,1500,1500,1381,1500,1500,1500,1500,1500
1647527380920635595,1500,1500,1386,1500,1500,1500,1500,1500
1647527380939372463,1500,1500,1386,1500,1500,1500,1500,1500
1647527380958941269,1500,1500,1386,1500,1500,1500,1500,1500
1647527380978300657,1500,1500,1386,1500,1500,1500,1500,1500
1647527380997872191,1500,1500,1386,1500,1500,1500,1500,1500
1647527381018476398,1500,1500,1388,1500,1500,1500,1500,1500
1647527381040328674,1500,1500,1388,1500,1500,1500,1500,1500
1647527381058480775,1500,1500,1388,1500,1500,1500,1500,1500
1647527381078632029,1500,1500,1388,1500,1500,1500,1500,1500
1647527381098350204,1500,1500,1388,1500,1500,1500,1500,1500
1647527381119598398,1500,1500,1393,1500,1500,1500,1500,1500
1647527381139673549,1500,1500,1393,1500,1500,1500,1500,1500
