%time,field.data
1647529795749700744,-0.109
1647529795750060520,-0.109
1647529795750302845,-0.109
1647529795753549107,-0.109
1647529795774564346,-0.109
1647529795795163094,-0.104
1647529795812702745,-0.104
1647529795832034822,-0.104
1647529795853919682,-0.104
1647529795873281562,-0.104
1647529795895115429,-0.103
1647529795912785982,-0.103
1647529795935507310,-0.103
1647529795957518425,-0.103
1647529795973190189,-0.103
1647529795993181770,-0.104
1647529796018854272,-0.104
1647529796032363409,-0.104
1647529796052672790,-0.104
1647529796072615549,-0.104
1647529796092430161,-0.098
1647529796112602306,-0.098
1647529796132524184,-0.098
1647529796152334734,-0.098
1647529796172955617,-0.098
1647529796192859834,-0.1
1647529796212722456,-0.1
1647529796237500932,-0.1
1647529796252814469,-0.1
1647529796272838200,-0.1
1647529796297098517,-0.102
1647529796314156350,-0.102
1647529796332865299,-0.102
1647529796352741849,-0.102
1647529796373744151,-0.102
1647529796392753317,-0.107
1647529796412541976,-0.107
1647529796431769977,-0.107
1647529796452908943,-0.107
1647529796472321167,-0.107
1647529796493494883,-0.101
1647529796511880853,-0.101
1647529796532715832,-0.101
1647529796552470233,-0.101
1647529796572801966,-0.101
1647529796591026980,-0.098
1647529796612716822,-0.098
1647529796632919887,-0.098
1647529796654343665,-0.098
1647529796671508016,-0.098
1647529796692572391,-0.101
1647529796710829568,-0.101
1647529796732678686,-0.101
1647529796751817080,-0.101
1647529796773075377,-0.101
1647529796790986344,-0.097
1647529796811387036,-0.097
1647529796831918076,-0.097
1647529796851363821,-0.097
1647529796871103544,-0.097
1647529796892011765,-0.098
1647529796912976680,-0.098
1647529796932340112,-0.098
1647529796954281970,-0.098
1647529796972422500,-0.098
1647529796991960267,-0.096
1647529797011848447,-0.096
1647529797034803768,-0.096
1647529797057417189,-0.096
1647529797074425319,-0.096
1647529797092790006,-0.101
1647529797113404131,-0.101
1647529797133201730,-0.101
1647529797153032870,-0.101
1647529797172150089,-0.101
1647529797191550484,-0.095
1647529797212122445,-0.095
1647529797232893358,-0.095
1647529797252066204,-0.095
1647529797271725433,-0.095
1647529797291679837,-0.093
1647529797311621866,-0.093
1647529797337144515,-0.093
1647529797353817956,-0.093
1647529797370781517,-0.093
1647529797391285736,-0.097
1647529797410935453,-0.097
1647529797431454400,-0.097
1647529797451988012,-0.097
1647529797471716671,-0.097
1647529797491259239,-0.094
1647529797510480158,-0.094
1647529797531827599,-0.094
1647529797551374657,-0.094
1647529797571250207,-0.094
1647529797590682691,-0.092
1647529797610937152,-0.092
1647529797637088584,-0.092
1647529797652283255,-0.092
1647529797671315329,-0.092
1647529797690386145,-0.095
1647529797710851990,-0.095
1647529797734453174,-0.095
1647529797752522569,-0.095
1647529797771255854,-0.095
1647529797791992538,-0.097
1647529797813212423,-0.097
1647529797832597435,-0.097
1647529797851618186,-0.097
1647529797871451661,-0.097
1647529797891085357,-0.094
1647529797911206763,-0.094
1647529797932406298,-0.094
1647529797953190506,-0.094
1647529797971859378,-0.094
1647529797991826564,-0.095
1647529798013998243,-0.095
1647529798032642329,-0.095
1647529798054662984,-0.095
1647529798072501741,-0.095
1647529798091937489,-0.095
1647529798111781785,-0.095
1647529798133029301,-0.095
1647529798154220255,-0.095
1647529798175717342,-0.095
1647529798192488069,-0.098
1647529798211511805,-0.098
1647529798231607107,-0.098
1647529798252662670,-0.098
1647529798272027594,-0.098
1647529798291620014,-0.098
1647529798310796345,-0.098
1647529798334254974,-0.098
1647529798354830553,-0.098
1647529798373771822,-0.098
1647529798394408238,-0.096
1647529798411195814,-0.096
1647529798431286076,-0.096
1647529798452241239,-0.096
1647529798472035957,-0.096
1647529798494633022,-0.095
1647529798511689409,-0.095
1647529798535387558,-0.095
1647529798551826338,-0.095
1647529798572549438,-0.095
1647529798592300161,-0.103
1647529798617595917,-0.103
1647529798631062219,-0.103
1647529798652384641,-0.103
1647529798671907419,-0.103
1647529798692070314,-0.095
1647529798711555344,-0.095
1647529798732599783,-0.095
1647529798752701313,-0.095
1647529798773372533,-0.095
1647529798791436168,-0.103
1647529798811358655,-0.103
1647529798831414614,-0.103
1647529798851290158,-0.103
1647529798872118453,-0.103
