%time,field.data
1647529055844026738,-0.103
1647529055844192691,-0.103
1647529055844261616,-0.103
1647529055859720705,-0.102
1647529055883994757,-0.102
1647529055900066259,-0.102
1647529055917662577,-0.102
1647529055943315653,-0.102
1647529055960823880,-0.101
1647529055980781737,-0.101
1647529056001345278,-0.101
1647529056019695314,-0.101
1647529056042959625,-0.101
1647529056064252968,-0.103
1647529056089298725,-0.103
1647529056104327058,-0.103
1647529056126454385,-0.103
1647529056152557156,-0.102
1647529056173194246,-0.102
1647529056195242797,-0.102
1647529056212009814,-0.102
1647529056231498754,-0.102
1647529056258133492,-0.105
1647529056276878440,-0.105
1647529056296502145,-0.105
1647529056315823994,-0.105
1647529056334849737,-0.105
1647529056357005461,-0.101
1647529056375942787,-0.101
1647529056400233736,-0.101
1647529056419783100,-0.101
1647529056440095392,-0.101
1647529056461735903,-0.103
1647529056482741615,-0.103
1647529056505651304,-0.103
1647529056525492291,-0.103
1647529056544767888,-0.103
1647529056562293844,-0.102
1647529056586496298,-0.102
1647529056604722026,-0.102
1647529056626655327,-0.102
1647529056647793043,-0.102
1647529056666076833,-0.1
1647529056689562398,-0.1
1647529056710114080,-0.1
1647529056731988306,-0.1
1647529056752474421,-0.103
1647529056774340296,-0.103
1647529056794868643,-0.103
1647529056816084621,-0.103
1647529056840278933,-0.103
1647529056859457904,-0.102
1647529056879713175,-0.102
1647529056897461312,-0.102
1647529056915161942,-0.102
1647529056939833847,-0.102
1647529056961767051,-0.106
1647529056979792068,-0.106
1647529057000549229,-0.106
1647529057021672889,-0.106
1647529057047743112,-0.106
1647529057072623870,-0.103
1647529057090560867,-0.103
1647529057110821765,-0.103
1647529057136079835,-0.103
1647529057157560216,-0.105
1647529057176231930,-0.105
1647529057194627998,-0.105
1647529057214936158,-0.105
1647529057239161257,-0.105
1647529057263936885,-0.103
1647529057282280180,-0.103
1647529057300257037,-0.103
1647529057319835272,-0.103
1647529057340289647,-0.103
1647529057363772721,-0.106
1647529057385088180,-0.106
1647529057405676373,-0.106
1647529057423972929,-0.106
1647529057450334020,-0.106
1647529057469909206,-0.105
1647529057489731334,-0.105
1647529057506564934,-0.105
1647529057525770734,-0.105
1647529057546900816,-0.105
1647529057567661202,-0.103
1647529057586932520,-0.103
1647529057612095654,-0.103
1647529057629489581,-0.103
1647529057655911172,-0.103
1647529057674730521,-0.103
1647529057696878459,-0.103
1647529057719774219,-0.103
1647529057739976867,-0.103
1647529057759873948,-0.104
1647529057783288089,-0.104
1647529057804509713,-0.104
1647529057824846021,-0.104
1647529057847850753,-0.104
1647529057870086018,-0.105
1647529057889400954,-0.105
1647529057909595546,-0.105
1647529057927236609,-0.105
1647529057948875855,-0.105
1647529057964574085,-0.106
1647529057984802640,-0.106
1647529058003004785,-0.106
1647529058025264663,-0.106
1647529058050025843,-0.106
1647529058071842566,-0.105
1647529058094403037,-0.105
1647529058114795469,-0.105
