%time,field.data
1647530044182078667,-0.1
1647530044182269627,-0.1
1647530044183464507,-0.1
1647530044201485361,-0.1
1647530044221490789,-0.1
1647530044244361692,-0.1
1647530044266803068,-0.103
1647530044280739533,-0.103
1647530044302087820,-0.103
1647530044324106030,-0.103
1647530044342389837,-0.103
1647530044363539472,-0.1
1647530044381501867,-0.1
1647530044401947889,-0.1
1647530044424833797,-0.1
1647530044442062711,-0.1
1647530044461131670,-0.101
1647530044481219425,-0.101
1647530044501999453,-0.101
1647530044522595355,-0.101
1647530044543035083,-0.101
1647530044561303855,-0.102
1647530044581824619,-0.102
1647530044601038041,-0.102
1647530044620882133,-0.102
1647530044641018262,-0.102
1647530044661130142,-0.104
1647530044680711686,-0.104
1647530044700315105,-0.104
1647530044720744036,-0.104
1647530044742667964,-0.104
1647530044761257053,-0.098
1647530044781348766,-0.098
1647530044800981586,-0.098
1647530044821518009,-0.098
1647530044841155034,-0.098
1647530044860724872,-0.103
1647530044880563607,-0.103
1647530044900281477,-0.103
1647530044923546910,-0.103
1647530044941656910,-0.103
1647530044961059301,-0.106
1647530044980619208,-0.106
1647530045001623425,-0.106
1647530045021831729,-0.106
1647530045041446791,-0.106
1647530045060851651,-0.103
1647530045081615584,-0.103
1647530045100708955,-0.103
1647530045122363758,-0.103
1647530045141460601,-0.103
1647530045160906543,-0.104
1647530045180599700,-0.104
1647530045203465035,-0.104
1647530045221794972,-0.104
1647530045241433800,-0.104
1647530045261542411,-0.106
1647530045281049352,-0.106
1647530045303393310,-0.106
1647530045321634079,-0.106
1647530045341937721,-0.106
1647530045361296357,-0.101
1647530045382222262,-0.101
1647530045401531209,-0.101
1647530045421069721,-0.101
1647530045440364680,-0.101
1647530045461485451,-0.098
1647530045481737753,-0.098
1647530045500759613,-0.098
1647530045520451910,-0.098
1647530045540097374,-0.098
1647530045561239715,-0.102
1647530045581007336,-0.102
1647530045601047444,-0.102
1647530045620700408,-0.102
1647530045640207194,-0.102
1647530045660456502,-0.102
1647530045680626298,-0.102
1647530045701215752,-0.102
1647530045720900264,-0.102
1647530045740406879,-0.102
1647530045760162880,-0.104
1647530045779552737,-0.104
1647530045800822256,-0.104
1647530045820551781,-0.104
1647530045840662897,-0.104
1647530045861916716,-0.105
1647530045881797394,-0.105
1647530045901399319,-0.105
1647530045926749619,-0.105
1647530045940932377,-0.105
1647530045961375233,-0.102
1647530045981281088,-0.102
1647530046002436519,-0.102
1647530046021098480,-0.102
1647530046041055578,-0.102
1647530046061023454,-0.101
1647530046081120345,-0.101
1647530046101135994,-0.101
1647530046122062608,-0.101
1647530046141641532,-0.101
1647530046160276442,-0.101
1647530046181684298,-0.101
1647530046202232036,-0.101
1647530046221358491,-0.101
1647530046244028550,-0.101
1647530046261440180,-0.104
1647530046280185076,-0.104
1647530046299830587,-0.104
1647530046321496295,-0.104
1647530046340708755,-0.104
1647530046360148075,-0.102
1647530046384687757,-0.102
1647530046403173279,-0.102
1647530046424306420,-0.102
1647530046440669477,-0.102
1647530046461543311,-0.098
1647530046480364140,-0.098
1647530046503361892,-0.098
1647530046522951178,-0.098
1647530046541962988,-0.098
1647530046560563730,-0.103
1647530046580894814,-0.103
1647530046600389342,-0.103
1647530046620285243,-0.103
1647530046640827445,-0.103
1647530046660158198,-0.103
1647530046680571416,-0.103
1647530046700599600,-0.103
1647530046723426293,-0.103
1647530046741656065,-0.103
1647530046761156623,-0.105
1647530046780194785,-0.105
1647530046806552227,-0.105
1647530046819522146,-0.105
1647530046841168828,-0.105
1647530046860693936,-0.105
1647530046880014023,-0.105
1647530046900974620,-0.105
1647530046920580193,-0.105
1647530046941089092,-0.105
1647530046960243807,-0.103
1647530046980137787,-0.103
1647530047000242691,-0.103
1647530047019789530,-0.103
1647530047040860371,-0.103
1647530047060613757,-0.103
1647530047080402393,-0.103
1647530047100634686,-0.103
1647530047120167033,-0.103
1647530047139512235,-0.103
1647530047160889543,-0.095
1647530047181217852,-0.095
1647530047202046562,-0.095
1647530047220752394,-0.095
1647530047240287394,-0.095
1647530047260726359,-0.098
1647530047281131093,-0.098
1647530047302853999,-0.098
1647530047319862053,-0.098
1647530047340508384,-0.098
1647530047360968718,-0.104
1647530047385475576,-0.104
1647530047403058611,-0.104
1647530047424494428,-0.104
1647530047440533155,-0.104
1647530047461002526,-0.103
1647530047480507733,-0.103
1647530047500570995,-0.103
1647530047520553168,-0.103
1647530047540925309,-0.103
1647530047561385407,-0.104
1647530047584842267,-0.104
