%time,field.data
1647529535316670296,-0.096
1647529535319071644,-0.108
1647529535334399906,-0.108
1647529535351950123,-0.108
1647529535372684522,-0.108
1647529535393023233,-0.108
1647529535420103093,-0.101
1647529535438414033,-0.101
1647529535454504565,-0.101
1647529535475822924,-0.101
1647529535500447811,-0.101
1647529535522224991,-0.1
1647529535542426016,-0.1
1647529535562904771,-0.1
1647529535583051787,-0.1
1647529535604789238,-0.1
1647529535625769429,-0.101
1647529535647908291,-0.101
1647529535664464772,-0.101
1647529535683417163,-0.101
1647529535705132380,-0.101
1647529535726239685,-0.104
1647529535744341402,-0.104
1647529535762466477,-0.104
1647529535782068613,-0.104
1647529535804858745,-0.104
1647529535824109346,-0.105
1647529535842755663,-0.105
1647529535862393881,-0.105
1647529535883417154,-0.105
1647529535903279240,-0.105
1647529535922959909,-0.103
1647529535944437148,-0.103
1647529535964006287,-0.103
1647529535986225188,-0.103
1647529536005136333,-0.103
1647529536025981678,-0.1
1647529536044601615,-0.1
1647529536064849714,-0.1
1647529536084653912,-0.1
1647529536108545241,-0.1
1647529536122392136,-0.098
1647529536145607704,-0.098
1647529536164798389,-0.098
1647529536183753755,-0.098
1647529536213200983,-0.102
1647529536231168353,-0.102
1647529536253734619,-0.102
1647529536271185129,-0.102
1647529536291506657,-0.102
1647529536313183776,-0.101
1647529536329465099,-0.101
1647529536352378825,-0.101
1647529536371326145,-0.101
1647529536395387810,-0.101
1647529536420359305,-0.098
1647529536438792270,-0.098
1647529536460272357,-0.098
1647529536479384734,-0.098
1647529536502005358,-0.098
1647529536521431661,-0.104
1647529536541787948,-0.104
1647529536562603991,-0.104
1647529536582487124,-0.104
1647529536604309382,-0.104
1647529536629359002,-0.1
1647529536649442300,-0.1
1647529536670213229,-0.1
1647529536688636712,-0.1
1647529536712815399,-0.098
1647529536733934102,-0.098
1647529536755643181,-0.098
1647529536774636733,-0.098
1647529536796274576,-0.098
1647529536823194894,-0.103
1647529536843185218,-0.103
1647529536864421772,-0.103
1647529536883212411,-0.103
1647529536904117191,-0.103
1647529536927348639,-0.101
1647529536952434419,-0.101
1647529536969978683,-0.101
1647529536987509155,-0.101
1647529537012374374,-0.106
1647529537033683474,-0.106
1647529537054418487,-0.106
