%time,field.data
1647528374486490489,-0.141
1647528374500845602,-0.145
1647528374521485017,-0.145
1647528374538076286,-0.145
1647528374559447742,-0.145
1647528374578289729,-0.145
1647528374595820768,-0.143
1647528374617389310,-0.143
1647528374639598505,-0.143
1647528374660701542,-0.143
1647528374679814406,-0.143
1647528374697902719,-0.141
1647528374717722295,-0.141
1647528374737418339,-0.141
1647528374758936678,-0.141
1647528374775861916,-0.141
1647528374797335739,-0.144
1647528374816304791,-0.144
1647528374834174807,-0.144
1647528374854889487,-0.144
1647528374877219733,-0.144
1647528374900692422,-0.142
1647528374917717727,-0.142
1647528374936910022,-0.142
1647528374954024014,-0.142
1647528374979842392,-0.142
1647528374996808160,-0.137
1647528375016811750,-0.137
1647528375037218702,-0.137
1647528375055036073,-0.137
1647528375076854488,-0.137
1647528375097831526,-0.137
1647528375118823291,-0.137
1647528375136864499,-0.137
1647528375161269023,-0.137
1647528375177931023,-0.137
1647528375199005016,-0.133
1647528375218062785,-0.133
1647528375238709876,-0.133
1647528375255326656,-0.133
1647528375277913666,-0.133
1647528375301755970,-0.133
1647528375318731649,-0.133
1647528375340300028,-0.133
1647528375357543838,-0.133
1647528375378274388,-0.133
1647528375399034632,-0.127
1647528375416629049,-0.127
1647528375439117412,-0.127
1647528375457909997,-0.127
1647528375477909263,-0.127
1647528375495755186,-0.127
1647528375519668768,-0.127
1647528375539861628,-0.127
1647528375556867944,-0.127
1647528375577246992,-0.127
1647528375596962754,-0.117
1647528375616789732,-0.117
1647528375637032611,-0.117
1647528375658267450,-0.117
1647528375677107485,-0.117
1647528375696798892,-0.119
1647528375716467274,-0.119
1647528375736637952,-0.119
1647528375755592391,-0.119
1647528375776910944,-0.119
1647528375796472026,-0.112
1647528375816597104,-0.112
1647528375836199889,-0.112
1647528375855525251,-0.112
1647528375876500234,-0.112
1647528375897528230,-0.11
1647528375917595346,-0.11
1647528375938035430,-0.11
1647528375955497807,-0.11
1647528375976199737,-0.11
1647528375996907376,-0.103
1647528376017165189,-0.103
1647528376036748297,-0.103
1647528376056845177,-0.103
1647528376076589551,-0.103
1647528376095452750,-0.102
1647528376117479347,-0.102
1647528376137619024,-0.102
1647528376154817410,-0.102
1647528376176449024,-0.102
1647528376195241168,-0.098
1647528376216999377,-0.098
1647528376238779187,-0.098
1647528376258212115,-0.098
1647528376277085088,-0.098
1647528376296502381,-0.094
1647528376316697205,-0.094
1647528376336109441,-0.094
1647528376357643491,-0.094
1647528376377552478,-0.094
1647528376396938352,-0.089
1647528376418850704,-0.089
1647528376436934782,-0.089
1647528376457026627,-0.089
1647528376477526685,-0.089
1647528376496608049,-0.087
1647528376515286385,-0.087
1647528376536430565,-0.087
1647528376557730522,-0.087
1647528376577698068,-0.087
1647528376599103264,-0.082
1647528376617364761,-0.082
1647528376637853819,-0.082
1647528376656793344,-0.082
1647528376676550401,-0.082
1647528376697152858,-0.079
1647528376717366122,-0.079
1647528376737368532,-0.079
1647528376755478324,-0.079
1647528376777740734,-0.079
1647528376797912110,-0.083
1647528376817176094,-0.083
1647528376838469919,-0.083
1647528376857323279,-0.083
1647528376877639513,-0.083
1647528376896963970,-0.08
1647528376917893637,-0.08
1647528376938559197,-0.08
1647528376957029655,-0.08
1647528376976999523,-0.08
1647528376996881491,-0.082
1647528377016753636,-0.082
1647528377037394126,-0.082
1647528377057014149,-0.082
1647528377077165663,-0.082
1647528377096777666,-0.082
1647528377116639408,-0.082
1647528377140779140,-0.082
1647528377157875622,-0.082
1647528377177127319,-0.082
1647528377196876407,-0.084
1647528377219763576,-0.084
1647528377237336810,-0.084
1647528377257560948,-0.084
1647528377276981156,-0.084
1647528377297798457,-0.087
1647528377319370848,-0.087
1647528377337151038,-0.087
1647528377355722327,-0.087
1647528377376494331,-0.087
1647528377397925061,-0.09
1647528377417426316,-0.09
1647528377437039281,-0.09
1647528377456205180,-0.09
1647528377477732083,-0.09
1647528377497852107,-0.091
1647528377517593985,-0.091
1647528377537031098,-0.091
1647528377556927580,-0.091
1647528377576543815,-0.091
1647528377601696753,-0.09
1647528377617104274,-0.09
1647528377637006011,-0.09
1647528377657193208,-0.09
1647528377682251490,-0.09
1647528377697613495,-0.097
1647528377716659006,-0.097
1647528377736485598,-0.097
1647528377755568683,-0.097
1647528377777472121,-0.097
1647528377797685549,-0.092
1647528377817397339,-0.092
1647528377836978520,-0.092
1647528377856468494,-0.092
1647528377876959498,-0.092
1647528377897946973,-0.091
1647528377916018419,-0.091
1647528377937558639,-0.091
1647528377957698963,-0.091
1647528377977128843,-0.091
1647528377996504125,-0.1
1647528378017006132,-0.1
1647528378036309676,-0.1
1647528378057230844,-0.1
1647528378077409481,-0.1
