%time,field.data
1647528485215116387,-0.106
1647528485235366036,-0.104
1647528485253515647,-0.104
1647528485273537287,-0.104
1647528485293013616,-0.104
1647528485315986132,-0.104
1647528485332713889,-0.108
1647528485352792466,-0.108
1647528485377142373,-0.108
1647528485395023012,-0.108
1647528485413102982,-0.108
1647528485433784217,-0.111
1647528485450659611,-0.111
1647528485473215681,-0.111
1647528485491876688,-0.111
1647528485513564731,-0.111
1647528485532191297,-0.101
1647528485554730595,-0.101
1647528485571799059,-0.101
1647528485589399147,-0.101
1647528485615281348,-0.101
1647528485632486073,-0.101
1647528485649977157,-0.101
1647528485672629080,-0.101
1647528485692542337,-0.101
1647528485709632310,-0.101
1647528485731801021,-0.095
1647528485751515239,-0.095
1647528485771451786,-0.095
1647528485795630988,-0.095
1647528485812959154,-0.095
1647528485837028221,-0.103
1647528485855578360,-0.103
1647528485871576492,-0.103
1647528485893001748,-0.103
1647528485913486260,-0.103
1647528485933846454,-0.106
1647528485951477144,-0.106
1647528485973011574,-0.106
1647528485992614034,-0.106
1647528486012158512,-0.106
1647528486036029202,-0.102
1647528486057670590,-0.102
1647528486072555991,-0.102
1647528486089574105,-0.102
1647528486113836365,-0.102
1647528486136670208,-0.103
1647528486151782197,-0.103
1647528486172481275,-0.103
1647528486191786151,-0.103
1647528486215417140,-0.103
1647528486231512564,-0.103
1647528486251849001,-0.103
1647528486271509783,-0.103
1647528486291219874,-0.103
1647528486309216555,-0.103
1647528486330306095,-0.102
1647528486351931936,-0.102
1647528486371620313,-0.102
1647528486396229616,-0.102
1647528486411195974,-0.102
1647528486430807703,-0.103
1647528486454769176,-0.103
1647528486470844475,-0.103
1647528486491434433,-0.103
1647528486513829956,-0.103
1647528486529168913,-0.106
1647528486551328237,-0.106
1647528486573203990,-0.106
1647528486592391836,-0.106
1647528486610171007,-0.106
1647528486636291358,-0.109
1647528486652938060,-0.109
1647528486672212439,-0.109
1647528486692369850,-0.109
1647528486712178613,-0.109
1647528486732806345,-0.107
1647528486750433525,-0.107
1647528486772140639,-0.107
1647528486792100037,-0.107
1647528486812489173,-0.107
1647528486832690290,-0.106
1647528486852525319,-0.106
1647528486873239397,-0.106
1647528486891658208,-0.106
1647528486912292451,-0.106
1647528486931400097,-0.102
1647528486951749149,-0.102
1647528486971417868,-0.102
1647528486992304926,-0.102
1647528487013132272,-0.102
1647528487031661944,-0.102
1647528487052032018,-0.102
1647528487070823015,-0.102
1647528487091654173,-0.102
1647528487112502297,-0.102
1647528487132696438,-0.106
1647528487152243168,-0.106
1647528487172448105,-0.106
1647528487191981330,-0.106
1647528487212494200,-0.106
1647528487231411185,-0.108
