%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data,field.variance
1648134039472012451,0,1562884221117411520,fcu,98579.99877929688,0.0
1648134039516161622,1,1562884221164115200,fcu,98579.99877929688,0.0
1648134039560894353,2,1562884221209115200,fcu,98579.99877929688,0.0
1648134039595199678,3,1562884221239728960,fcu,98600.0,0.0
1648134039621345332,4,1562884221257728960,fcu,98600.0,0.0
1648134039632757676,5,1562884221278728960,fcu,98600.0,0.0
1648134039647577943,6,1562884221294728960,fcu,98600.0,0.0
1648134039669494285,7,1562884221314728960,fcu,98600.0,0.0
1648134039686572284,8,1562884221334272832,fcu,98600.0,0.0
1648134039706504235,9,1562884221354272832,fcu,98569.9951171875,0.0
1648134039724361158,10,1562884221371272832,fcu,98569.9951171875,0.0
1648134039738672536,11,1562884221387272832,fcu,98569.9951171875,0.0
1648134039763262525,12,1562884221404272832,fcu,98569.9951171875,0.0
1648134039774889516,13,1562884221425485504,fcu,98569.9951171875,0.0
1648134039795199596,14,1562884221445485504,fcu,98600.0,0.0
1648134039815115722,15,1562884221465485504,fcu,98600.0,0.0
1648134039838399649,16,1562884221488485504,fcu,98600.0,0.0
1648134039859005257,17,1562884221508485504,fcu,98600.0,0.0
1648134039875322569,18,1562884221526530304,fcu,98600.0,0.0
1648134039895209743,19,1562884221545530304,fcu,98600.0,0.0
1648134039909778470,20,1562884221561530304,fcu,98600.0,0.0
1648134039928375523,21,1562884221578530304,fcu,98600.0,0.0
1648134039948347007,22,1562884221598530304,fcu,98600.0,0.0
1648134039971446788,23,1562884221620530304,fcu,98600.0,0.0
1648134039988697019,24,1562884221639747904,fcu,98600.0,0.0
1648134040008506166,25,1562884221658747904,fcu,98579.99877929688,0.0
1648134040024300145,26,1562884221675747904,fcu,98579.99877929688,0.0
1648134040041652587,27,1562884221693747904,fcu,98579.99877929688,0.0
1648134040062438767,28,1562884221712747904,fcu,98579.99877929688,0.0
1648134040081025874,29,1562884221732096064,fcu,98579.99877929688,0.0
1648134040098630861,30,1562884221749096064,fcu,98589.99633789062,0.0
1648134040117816075,31,1562884221769096064,fcu,98589.99633789062,0.0
1648134040138190335,32,1562884221789096064,fcu,98589.99633789062,0.0
1648134040155353574,33,1562884221806096064,fcu,98589.99633789062,0.0
1648134040175502865,34,1562884221826774272,fcu,98589.99633789062,0.0
1648134040197145579,35,1562884221848774272,fcu,98600.0,0.0
1648134040221327680,36,1562884221868774272,fcu,98600.0,0.0
1648134040234339759,37,1562884221885774272,fcu,98600.0,0.0
1648134040254058975,38,1562884221905774272,fcu,98600.0,0.0
1648134040275381207,39,1562884221925797312,fcu,98600.0,0.0
1648134040292012336,40,1562884221941797312,fcu,98609.99755859375,0.0
1648134040310221804,41,1562884221961797312,fcu,98609.99755859375,0.0
1648134040328403318,42,1562884221978797312,fcu,98609.99755859375,0.0
1648134040348165881,43,1562884221998797312,fcu,98609.99755859375,0.0
1648134040365672656,44,1562884222015797312,fcu,98609.99755859375,0.0
1648134040383125220,45,1562884222033513408,fcu,98609.99755859375,0.0
1648134040400114946,46,1562884222051513408,fcu,98609.99755859375,0.0
1648134040419780625,47,1562884222071513408,fcu,98609.99755859375,0.0
1648134040437309725,48,1562884222088513408,fcu,98609.99755859375,0.0
1648134040457817508,49,1562884222108513408,fcu,98609.99755859375,0.0
1648134040477491855,50,1562884222128495488,fcu,98609.99755859375,0.0
1648134040495224572,51,1562884222145495488,fcu,98569.9951171875,0.0
1648134040518684779,52,1562884222168495488,fcu,98569.9951171875,0.0
1648134040536761812,53,1562884222188495488,fcu,98569.9951171875,0.0
1648134040556729524,54,1562884222208495488,fcu,98569.9951171875,0.0
1648134040575764476,55,1562884222226017728,fcu,98569.9951171875,0.0
1648134040595108802,56,1562884222246017728,fcu,98569.9951171875,0.0
1648134040615062294,57,1562884222266017728,fcu,98569.9951171875,0.0
1648134040634568250,58,1562884222286017728,fcu,98569.9951171875,0.0
1648134040650451558,59,1562884222302017728,fcu,98569.9951171875,0.0
1648134040669909000,60,1562884222322017728,fcu,98569.9951171875,0.0
1648134040691599940,61,1562884222341752512,fcu,98569.9951171875,0.0
1648134040708707103,62,1562884222358752512,fcu,98569.9951171875,0.0
1648134040724452685,63,1562884222375752512,fcu,98569.9951171875,0.0
1648134040745376029,64,1562884222395752512,fcu,98569.9951171875,0.0
1648134040760152370,65,1562884222411752512,fcu,98569.9951171875,0.0
1648134040779197169,66,1562884222429491392,fcu,98569.9951171875,0.0
1648134040796844722,67,1562884222448491392,fcu,98539.99633789062,0.0
1648134040815382806,68,1562884222465491392,fcu,98539.99633789062,0.0
1648134040830491020,69,1562884222481491392,fcu,98539.99633789062,0.0
1648134040847822402,70,1562884222498491392,fcu,98539.99633789062,0.0
1648134040869556426,71,1562884222521491392,fcu,98539.99633789062,0.0
1648134040891585674,72,1562884222541346496,fcu,98609.99755859375,0.0
1648134040910346293,73,1562884222560346496,fcu,98609.99755859375,0.0
1648134040928114550,74,1562884222578346496,fcu,98609.99755859375,0.0
1648134040949047291,75,1562884222598346496,fcu,98609.99755859375,0.0
