%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1648134039146222266,1500,1500,1500,1500,1500,1500,1500,1500
1648134039285306020,1500,1500,1500,1500,1500,1500,1500,1500
1648134041986190267,1500,1500,1500,1500,1500,1500,1500,1500
1648134042156240177,1500,1500,1500,1500,1500,1500,1500,1500
1648134045649410652,1500,1500,1500,1500,1700,1500,1500,1500
1648134045670285999,1500,1500,1500,1500,1700,1500,1500,1500
1648134045691121919,1500,1500,1500,1500,1700,1500,1500,1500
1648134045708211512,1500,1500,1500,1500,1700,1500,1500,1500
1648134045729521059,1500,1500,1500,1500,1700,1500,1500,1500
1648134045750248235,1500,1500,1500,1500,1700,1500,1500,1500
1648134045766548733,1500,1500,1500,1500,1700,1500,1500,1500
1648134045786254268,1500,1500,1500,1500,1700,1500,1500,1500
1648134045809610820,1500,1500,1500,1500,1700,1500,1500,1500
1648134045827757250,1500,1500,1500,1500,1700,1500,1500,1500
1648134045851393216,1500,1500,1500,1500,1700,1500,1500,1500
1648134045868721849,1500,1500,1500,1500,1700,1500,1500,1500
1648134045892251482,1500,1500,1500,1500,1700,1500,1500,1500
1648134045906157779,1500,1500,1500,1500,1700,1500,1500,1500
1648134045930274755,1500,1500,1500,1500,1700,1500,1500,1500
1648134045949975225,1500,1500,1500,1500,1700,1500,1500,1500
1648134045968836040,1500,1500,1500,1500,1700,1500,1500,1500
1648134045986085955,1500,1500,1500,1500,1700,1500,1500,1500
1648134046009593303,1500,1500,1500,1500,1700,1500,1500,1500
1648134046031862739,1500,1500,1500,1500,1700,1500,1500,1500
1648134046049035164,1500,1500,1500,1500,1700,1500,1500,1500
1648134046068705675,1500,1500,1500,1500,1700,1500,1500,1500
1648134046086198951,1500,1500,1500,1500,1700,1500,1500,1500
1648134046110321552,1500,1500,1500,1500,1700,1500,1500,1500
1648134046130863303,1500,1500,1500,1500,1700,1500,1500,1500
1648134046148743451,1500,1500,1500,1500,1700,1500,1500,1500
1648134046169756818,1500,1500,1500,1500,1700,1500,1500,1500
1648134046191980125,1500,1500,1500,1500,1700,1500,1500,1500
1648134046205746779,1500,1500,1500,1500,1700,1500,1500,1500
1648134046229109992,1500,1500,1500,1500,1700,1500,1500,1500
1648134046246376983,1500,1500,1500,1500,1700,1500,1500,1500
1648134046270849040,1500,1500,1500,1500,1700,1500,1500,1500
1648134046293140468,1500,1500,1500,1500,1700,1500,1500,1500
1648134046310472675,1500,1500,1500,1500,1700,1500,1500,1500
1648134046330120607,1500,1500,1500,1500,1700,1500,1500,1500
1648134046348771275,1500,1500,1500,1500,1700,1500,1500,1500
1648134046368900788,1500,1500,1500,1500,1700,1500,1500,1500
1648134046386352695,1500,1500,1500,1500,1700,1500,1500,1500
1648134046409815407,1500,1500,1500,1500,1700,1500,1500,1500
1648134046429387731,1500,1500,1500,1500,1700,1500,1500,1500
1648134046451576241,1500,1500,1500,1500,1700,1500,1500,1500
1648134046469175357,1500,1500,1500,1500,1700,1500,1500,1500
1648134046486567205,1500,1500,1500,1500,1700,1500,1500,1500
1648134046511275553,1500,1500,1500,1500,1700,1500,1500,1500
1648134046532064503,1500,1500,1500,1500,1700,1500,1500,1500
1648134046553014999,1500,1500,1500,1500,1700,1500,1500,1500
1648134046569311374,1500,1500,1500,1500,1700,1500,1500,1500
1648134046591587837,1500,1500,1500,1500,1700,1500,1500,1500
1648134046606314768,1500,1500,1500,1500,1700,1500,1500,1500
1648134046629786272,1500,1500,1500,1500,1700,1500,1500,1500
1648134046650587657,1500,1500,1500,1500,1700,1500,1500,1500
1648134046671828500,1500,1500,1500,1500,1700,1500,1500,1500
1648134046692287162,1500,1500,1500,1500,1700,1500,1500,1500
1648134046710167860,1500,1500,1500,1500,1700,1500,1500,1500
1648134046730582104,1500,1500,1500,1500,1700,1500,1500,1500
1648134046749132654,1500,1500,1500,1500,1700,1500,1500,1500
1648134046770225275,1500,1500,1500,1500,1700,1500,1500,1500
1648134046791343734,1500,1500,1500,1500,1700,1500,1500,1500
1648134046808613128,1500,1500,1500,1500,1700,1500,1500,1500
1648134046829790367,1500,1500,1500,1500,1700,1500,1500,1500
1648134046850377977,1500,1500,1500,1500,1700,1500,1500,1500
1648134046871733137,1500,1500,1500,1500,1700,1500,1500,1500
1648134046888515697,1500,1500,1500,1500,1700,1500,1500,1500
1648134046908892054,1500,1500,1500,1500,1700,1500,1500,1500
1648134046931005000,1500,1500,1500,1500,1700,1500,1500,1500
1648134046950649321,1500,1500,1500,1500,1700,1500,1500,1500
1648134046967819085,1500,1500,1500,1500,1700,1500,1500,1500
1648134046986221142,1500,1500,1500,1500,1700,1500,1500,1500
1648134047010371984,1500,1500,1500,1500,1700,1500,1500,1500
1648134047029220960,1500,1500,1500,1500,1700,1500,1500,1500
1648134047049544974,1500,1500,1500,1500,1700,1500,1500,1500
1648134047069291234,1500,1500,1500,1500,1700,1500,1500,1500
1648134047092499587,1500,1500,1500,1500,1700,1500,1500,1500
1648134047109966367,1500,1500,1500,1500,1700,1500,1500,1500
1648134047130717289,1500,1500,1500,1500,1700,1500,1500,1500
1648134047150382316,1500,1500,1500,1500,1700,1500,1500,1500
1648134047168615402,1500,1500,1500,1500,1700,1500,1500,1500
1648134047192859417,1500,1500,1500,1500,1700,1500,1500,1500
1648134047210672614,1500,1500,1500,1500,1700,1500,1500,1500
1648134047227876728,1500,1500,1500,1500,1700,1500,1500,1500
1648134047249067377,1500,1500,1500,1500,1700,1500,1500,1500
1648134047270107612,1500,1500,1500,1500,1700,1500,1500,1500
1648134047291987628,1500,1500,1500,1500,1700,1500,1500,1500
1648134047309186067,1500,1500,1500,1500,1700,1500,1500,1500
1648134047328299825,1500,1500,1500,1500,1700,1500,1500,1500
1648134047348619137,1500,1500,1500,1500,1700,1500,1500,1500
1648134047371011027,1500,1500,1500,1500,1700,1500,1500,1500
1648134047392062780,1500,1500,1500,1500,1700,1500,1500,1500
1648134047406361822,1500,1500,1500,1500,1700,1500,1500,1500
1648134047429015459,1500,1500,1500,1500,1700,1500,1500,1500
1648134047448562033,1500,1500,1500,1500,1700,1500,1500,1500
1648134047469883622,1500,1500,1500,1500,1700,1500,1500,1500
1648134047487251590,1500,1500,1500,1500,1700,1500,1500,1500
1648134047506847266,1500,1500,1500,1500,1700,1500,1500,1500
1648134047531395215,1500,1500,1500,1500,1700,1500,1500,1500
1648134047550181726,1500,1500,1500,1500,1700,1500,1500,1500
1648134047569861794,1500,1500,1500,1500,1700,1500,1500,1500
1648134047589754481,1500,1500,1500,1500,1700,1500,1500,1500
1648134047609971685,1500,1500,1500,1500,1700,1500,1500,1500
1648134047626209810,1500,1500,1500,1500,1500,1500,1500,1500
1648134047826219246,1500,1500,1500,1500,1500,1500,1500,1500
1648134049866051884,1500,1500,1500,1500,1500,1500,1500,1500
1648134049875945555,1500,1500,1500,1500,1500,1500,1500,1500
1648134049886095732,1500,1500,1500,1500,1504,1500,1500,1500
1648134049896146579,1500,1500,1500,1500,1506,1500,1500,1500
1648134049906109047,1500,1500,1500,1500,1513,1500,1500,1500
1648134049916103846,1500,1500,1500,1500,1516,1500,1500,1500
1648134049926154778,1500,1500,1500,1500,1519,1500,1500,1500
1648134049936157143,1500,1500,1500,1500,1521,1500,1500,1500
1648134049946048583,1500,1500,1500,1500,1525,1500,1500,1500
1648134049956224663,1500,1500,1500,1500,1526,1500,1500,1500
1648134049966135222,1500,1500,1500,1500,1526,1500,1500,1500
1648134049976039235,1500,1500,1500,1500,1527,1500,1500,1500
1648134050006200989,1500,1500,1500,1500,1528,1500,1500,1500
1648134050016060506,1500,1500,1500,1500,1529,1500,1500,1500
1648134050026211386,1500,1500,1500,1500,1532,1500,1500,1500
1648134050036166145,1500,1500,1500,1500,1534,1500,1500,1500
1648134050046155561,1500,1500,1500,1500,1538,1500,1500,1500
1648134050056218970,1500,1500,1500,1500,1539,1500,1500,1500
1648134050066279054,1500,1500,1500,1500,1546,1500,1500,1500
1648134050076171974,1500,1500,1500,1500,1550,1500,1500,1500
1648134050086310493,1500,1500,1500,1500,1552,1500,1500,1500
1648134050096208798,1500,1500,1500,1500,1556,1500,1500,1500
1648134050106255704,1500,1500,1500,1500,1558,1500,1500,1500
1648134050146095678,1500,1500,1500,1500,1542,1500,1500,1500
1648134050156334013,1500,1500,1500,1500,1531,1500,1500,1500
1648134050166374080,1500,1500,1500,1500,1517,1500,1500,1500
1648134050176205851,1500,1500,1500,1500,1512,1500,1500,1500
1648134050186087459,1500,1500,1500,1500,1503,1500,1500,1500
1648134050196146405,1500,1500,1500,1500,1500,1500,1500,1500
1648134050206400768,1500,1500,1500,1500,1500,1500,1500,1500
1648134050726084937,1500,1500,1500,1500,1495,1500,1500,1500
1648134050736075743,1500,1500,1500,1500,1490,1500,1500,1500
1648134050746115789,1500,1500,1500,1500,1485,1500,1500,1500
1648134050756147633,1500,1500,1500,1500,1479,1500,1500,1500
1648134050766020139,1500,1500,1500,1500,1460,1500,1500,1500
1648134050776190071,1500,1500,1500,1500,1443,1500,1500,1500
1648134050785936918,1500,1500,1500,1500,1426,1500,1500,1500
1648134050796080056,1500,1500,1500,1500,1421,1500,1500,1500
1648134050806218140,1500,1500,1500,1500,1420,1500,1500,1500
1648134050865902178,1500,1500,1500,1500,1453,1500,1500,1500
1648134050876167440,1500,1500,1500,1500,1467,1500,1500,1500
