%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1648137855151136087,1500,1500,1500,1500,1500,1500,1500,1500
1648137855261260280,1500,1500,1500,1500,1500,1500,1500,1500
1648137859104167541,1500,1500,1421,1500,1500,1500,1500,1500
1648137859123083986,1500,1500,1421,1500,1500,1500,1500,1500
1648137859144501110,1500,1500,1421,1500,1500,1500,1500,1500
1648137859162887369,1500,1500,1421,1500,1500,1500,1500,1500
1648137859185110138,1500,1500,1421,1500,1500,1500,1500,1500
1648137859206659982,1500,1500,1421,1500,1500,1500,1500,1500
1648137859223167216,1500,1500,1421,1500,1500,1500,1500,1500
1648137859244086867,1500,1500,1421,1500,1500,1500,1500,1500
1648137859265421040,1500,1500,1421,1500,1500,1500,1500,1500
1648137859284765887,1500,1500,1421,1500,1500,1500,1500,1500
1648137859304917728,1500,1500,1421,1500,1500,1500,1500,1500
1648137859324303849,1500,1500,1421,1500,1500,1500,1500,1500
1648137859342280178,1500,1500,1421,1500,1500,1500,1500,1500
1648137859365138714,1500,1500,1421,1500,1500,1500,1500,1500
1648137859384397992,1500,1500,1421,1500,1500,1500,1500,1500
1648137859405909506,1500,1500,1421,1500,1500,1500,1500,1500
1648137859421923129,1500,1500,1421,1500,1500,1500,1500,1500
1648137859446215272,1500,1500,1421,1500,1500,1500,1500,1500
1648137859464762367,1500,1500,1421,1500,1500,1500,1500,1500
1648137859487722077,1500,1500,1421,1500,1500,1500,1500,1500
1648137859504843111,1500,1500,1420,1500,1500,1500,1500,1500
1648137859523011829,1500,1500,1421,1500,1500,1500,1500,1500
1648137859545028757,1500,1500,1421,1500,1500,1500,1500,1500
1648137859566439007,1500,1500,1421,1500,1500,1500,1500,1500
1648137859582652387,1500,1500,1421,1500,1500,1500,1500,1500
1648137859605572059,1500,1500,1421,1500,1500,1500,1500,1500
1648137859621674223,1500,1500,1421,1500,1500,1500,1500,1500
1648137859645026666,1500,1500,1421,1500,1500,1500,1500,1500
1648137859663350276,1500,1500,1421,1500,1500,1500,1500,1500
1648137859690033348,1500,1500,1421,1500,1500,1500,1500,1500
1648137859704452643,1500,1500,1420,1500,1500,1500,1500,1500
1648137859722780138,1500,1500,1421,1500,1500,1500,1500,1500
1648137859745576455,1500,1500,1421,1500,1500,1500,1500,1500
1648137859764692339,1500,1500,1421,1500,1500,1500,1500,1500
1648137859782465169,1500,1500,1421,1500,1500,1500,1500,1500
1648137859806014572,1500,1500,1421,1500,1500,1500,1500,1500
1648137859826103138,1500,1500,1421,1500,1500,1500,1500,1500
1648137859844867055,1500,1500,1421,1500,1500,1500,1500,1500
1648137859862886003,1500,1500,1421,1500,1500,1500,1500,1500
1648137859886563412,1500,1500,1421,1500,1500,1500,1500,1500
1648137859906181987,1500,1500,1421,1500,1500,1500,1500,1500
1648137859921830102,1500,1500,1421,1500,1500,1500,1500,1500
1648137859945304663,1500,1500,1421,1500,1500,1500,1500,1500
1648137859964879549,1500,1500,1421,1500,1500,1500,1500,1500
1648137859985378673,1500,1500,1421,1500,1500,1500,1500,1500
1648137860004725374,1500,1500,1421,1500,1500,1500,1500,1500
1648137860021131742,1500,1500,1421,1500,1500,1500,1500,1500
1648137860044826418,1500,1500,1421,1500,1500,1500,1500,1500
1648137860064019574,1500,1500,1421,1500,1500,1500,1500,1500
1648137860085945070,1500,1500,1422,1500,1500,1500,1500,1500
1648137860104736022,1500,1500,1422,1500,1500,1500,1500,1500
1648137860124556649,1500,1500,1422,1500,1500,1500,1500,1500
1648137860143871153,1500,1500,1422,1500,1500,1500,1500,1500
1648137860162438925,1500,1500,1422,1500,1500,1500,1500,1500
1648137860185235069,1500,1500,1422,1500,1500,1500,1500,1500
1648137860204494302,1500,1500,1422,1500,1500,1500,1500,1500
1648137860222051491,1500,1500,1422,1500,1500,1500,1500,1500
1648137860245301011,1500,1500,1422,1500,1500,1500,1500,1500
1648137860263477902,1500,1500,1422,1500,1500,1500,1500,1500
1648137860287503626,1500,1500,1422,1500,1500,1500,1500,1500
1648137860304990020,1500,1500,1422,1500,1500,1500,1500,1500
1648137860321854444,1500,1500,1422,1500,1500,1500,1500,1500
1648137860345229897,1500,1500,1422,1500,1500,1500,1500,1500
1648137860365078933,1500,1500,1422,1500,1500,1500,1500,1500
1648137860384522274,1500,1500,1422,1500,1500,1500,1500,1500
1648137860406323162,1500,1500,1422,1500,1500,1500,1500,1500
1648137860426538910,1500,1500,1422,1500,1500,1500,1500,1500
1648137860441811213,1500,1500,1422,1500,1500,1500,1500,1500
1648137860469112537,1500,1500,1422,1500,1500,1500,1500,1500
1648137860487486244,1500,1500,1422,1500,1500,1500,1500,1500
1648137860509146143,1500,1500,1422,1500,1500,1500,1500,1500
1648137860525415726,1500,1500,1422,1500,1500,1500,1500,1500
1648137860545020963,1500,1500,1422,1500,1500,1500,1500,1500
1648137860565113215,1500,1500,1422,1500,1500,1500,1500,1500
1648137860582601907,1500,1500,1422,1500,1500,1500,1500,1500
1648137860606242664,1500,1500,1422,1500,1500,1500,1500,1500
1648137860621620643,1500,1500,1423,1500,1500,1500,1500,1500
1648137860645943941,1500,1500,1423,1500,1500,1500,1500,1500
1648137860663025153,1500,1500,1423,1500,1500,1500,1500,1500
1648137860684758052,1500,1500,1423,1500,1500,1500,1500,1500
1648137860706346740,1500,1500,1423,1500,1500,1500,1500,1500
1648137860723865744,1500,1500,1423,1500,1500,1500,1500,1500
1648137860746760595,1500,1500,1423,1500,1500,1500,1500,1500
1648137860761266452,1500,1500,1423,1500,1500,1500,1500,1500
1648137860784683699,1500,1500,1423,1500,1500,1500,1500,1500
1648137860805208589,1500,1500,1423,1500,1500,1500,1500,1500
1648137860824178802,1500,1500,1423,1500,1500,1500,1500,1500
1648137860845296315,1500,1500,1423,1500,1500,1500,1500,1500
1648137860862704657,1500,1500,1423,1500,1500,1500,1500,1500
1648137860883369161,1500,1500,1423,1500,1500,1500,1500,1500
1648137860905143946,1500,1500,1423,1500,1500,1500,1500,1500
1648137860922563604,1500,1500,1424,1500,1500,1500,1500,1500
1648137860946650059,1500,1500,1424,1500,1500,1500,1500,1500
1648137860963412799,1500,1500,1424,1500,1500,1500,1500,1500
1648137860984720449,1500,1500,1424,1500,1500,1500,1500,1500
1648137861007133165,1500,1500,1424,1500,1500,1500,1500,1500
1648137861022016783,1500,1500,1424,1500,1500,1500,1500,1500
1648137861045881003,1500,1500,1424,1500,1500,1500,1500,1500
1648137861065348030,1500,1500,1424,1500,1500,1500,1500,1500
1648137861084676957,1500,1500,1424,1500,1500,1500,1500,1500
1648137861105460563,1500,1500,1424,1500,1500,1500,1500,1500
1648137861124195982,1500,1500,1424,1500,1500,1500,1500,1500
1648137861145260931,1500,1500,1424,1500,1500,1500,1500,1500
1648137861166574273,1500,1500,1425,1500,1500,1500,1500,1500
1648137861185649040,1500,1500,1425,1500,1500,1500,1500,1500
1648137861205422298,1500,1500,1425,1500,1500,1500,1500,1500
1648137861222605425,1500,1500,1425,1500,1500,1500,1500,1500
1648137861245952036,1500,1500,1425,1500,1500,1500,1500,1500
1648137861262894931,1500,1500,1425,1500,1500,1500,1500,1500
1648137861283192066,1500,1500,1425,1500,1500,1500,1500,1500
1648137861305453076,1500,1500,1425,1500,1500,1500,1500,1500
1648137861322867714,1500,1500,1425,1500,1500,1500,1500,1500
1648137861342957268,1500,1500,1425,1500,1500,1500,1500,1500
1648137861366945613,1500,1500,1425,1500,1500,1500,1500,1500
1648137861384605836,1500,1500,1425,1500,1500,1500,1500,1500
1648137861405695448,1500,1500,1425,1500,1500,1500,1500,1500
1648137861422158103,1500,1500,1426,1500,1500,1500,1500,1500
1648137861444203866,1500,1500,1426,1500,1500,1500,1500,1500
1648137861465203172,1500,1500,1426,1500,1500,1500,1500,1500
1648137861484912454,1500,1500,1426,1500,1500,1500,1500,1500
1648137861505025497,1500,1500,1426,1500,1500,1500,1500,1500
1648137861523148392,1500,1500,1426,1500,1500,1500,1500,1500
1648137861546603104,1500,1500,1426,1500,1500,1500,1500,1500
1648137861562934166,1500,1500,1426,1500,1500,1500,1500,1500
1648137861584822632,1500,1500,1426,1500,1500,1500,1500,1500
1648137861605794262,1500,1500,1427,1500,1500,1500,1500,1500
1648137861622301880,1500,1500,1427,1500,1500,1500,1500,1500
1648137861645361297,1500,1500,1427,1500,1500,1500,1500,1500
1648137861663792020,1500,1500,1427,1500,1500,1500,1500,1500
1648137861684381677,1500,1500,1427,1500,1500,1500,1500,1500
