%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data,field.variance
1648134492999321704,22258,1562884674642461248,fcu,99109.99755859375,0.0
1648134493017410009,22259,1562884674662461248,fcu,99129.99877929688,0.0
1648134493036959105,22260,1562884674682461248,fcu,99129.99877929688,0.0
1648134493057147651,22261,1562884674702461248,fcu,99129.99877929688,0.0
1648134493079367858,22262,1562884674724974784,fcu,99129.99877929688,0.0
1648134493096098528,22263,1562884674742974784,fcu,99129.99877929688,0.0
1648134493118478403,22264,1562884674764974784,fcu,99119.9951171875,0.0
1648134493137036637,22265,1562884674782974784,fcu,99119.9951171875,0.0
1648134493156962227,22266,1562884674802974784,fcu,99119.9951171875,0.0
1648134493175946285,22267,1562884674820974784,fcu,99119.9951171875,0.0
1648134493195825645,22268,1562884674841240064,fcu,99119.9951171875,0.0
1648134493216322113,22269,1562884674862240064,fcu,99159.99755859375,0.0
1648134493237547151,22270,1562884674882240064,fcu,99159.99755859375,0.0
1648134493256735738,22271,1562884674902240064,fcu,99159.99755859375,0.0
1648134493276774114,22272,1562884674922240064,fcu,99159.99755859375,0.0
1648134493295363179,22273,1562884674941892096,fcu,99159.99755859375,0.0
1648134493316786457,22274,1562884674962892096,fcu,99109.99755859375,0.0
1648134493336501105,22275,1562884674982892096,fcu,99109.99755859375,0.0
1648134493356909435,22276,1562884675002892096,fcu,99109.99755859375,0.0
1648134493375983769,22277,1562884675022892096,fcu,99109.99755859375,0.0
1648134493394986421,22278,1562884675041941248,fcu,99109.99755859375,0.0
1648134493417350937,22279,1562884675062941248,fcu,99139.99633789062,0.0
1648134493436412425,22280,1562884675082941248,fcu,99139.99633789062,0.0
1648134493456055679,22281,1562884675100941248,fcu,99139.99633789062,0.0
1648134493478578593,22282,1562884675124909248,fcu,99139.99633789062,0.0
1648134493495285017,22283,1562884675141909248,fcu,99139.99633789062,0.0
1648134493514820053,22284,1562884675160909248,fcu,99159.99755859375,0.0
1648134493536268208,22285,1562884675182909248,fcu,99159.99755859375,0.0
1648134493558510579,22286,1562884675204909248,fcu,99159.99755859375,0.0
1648134493577721221,22287,1562884675222909248,fcu,99159.99755859375,0.0
1648134493594878207,22288,1562884675241462784,fcu,99159.99755859375,0.0
1648134493617017194,22289,1562884675262462784,fcu,99100.0,0.0
1648134493636255839,22290,1562884675282462784,fcu,99100.0,0.0
1648134493655945633,22291,1562884675302462784,fcu,99100.0,0.0
1648134493679640188,22292,1562884675325189376,fcu,99100.0,0.0
1648134493694429624,22293,1562884675341189376,fcu,99100.0,0.0
1648134493715904251,22294,1562884675360189376,fcu,99109.99755859375,0.0
1648134493737143870,22295,1562884675382189376,fcu,99109.99755859375,0.0
1648134493757687161,22296,1562884675402189376,fcu,99109.99755859375,0.0
1648134493775304743,22297,1562884675420189376,fcu,99109.99755859375,0.0
1648134493796442420,22298,1562884675442101312,fcu,99109.99755859375,0.0
1648134493816978542,22299,1562884675462101312,fcu,99119.9951171875,0.0
1648134493838297491,22300,1562884675484101312,fcu,99119.9951171875,0.0
1648134493857001343,22301,1562884675502101312,fcu,99119.9951171875,0.0
1648134493877092335,22302,1562884675522101312,fcu,99119.9951171875,0.0
1648134493895658248,22303,1562884675541443072,fcu,99119.9951171875,0.0
1648134493916600879,22304,1562884675562443072,fcu,99139.99633789062,0.0
1648134493935950218,22305,1562884675582443072,fcu,99139.99633789062,0.0
1648134493955331207,22306,1562884675600443072,fcu,99139.99633789062,0.0
1648134493977208817,22307,1562884675622443072,fcu,99139.99633789062,0.0
1648134493996397008,22308,1562884675642244672,fcu,99139.99633789062,0.0
1648134494016981744,22309,1562884675662244672,fcu,99129.99877929688,0.0
1648134494035612369,22310,1562884675680244672,fcu,99129.99877929688,0.0
1648134494055182512,22311,1562884675700244672,fcu,99129.99877929688,0.0
1648134494076538727,22312,1562884675722244672,fcu,99129.99877929688,0.0
1648134494096470663,22313,1562884675742590272,fcu,99129.99877929688,0.0
1648134494116081099,22314,1562884675762590272,fcu,99150.0,0.0
1648134494135974617,22315,1562884675782590272,fcu,99150.0,0.0
1648134494157576669,22316,1562884675802590272,fcu,99150.0,0.0
1648134494177631037,22317,1562884675822590272,fcu,99150.0,0.0
1648134494196784754,22318,1562884675842212928,fcu,99150.0,0.0
1648134494216775194,22319,1562884675862212928,fcu,99179.99877929688,0.0
1648134494237826733,22320,1562884675884212928,fcu,99179.99877929688,0.0
1648134494255751427,22321,1562884675900212928,fcu,99179.99877929688,0.0
1648134494276274416,22322,1562884675922212928,fcu,99179.99877929688,0.0
1648134494295778145,22323,1562884675942024000,fcu,99179.99877929688,0.0
1648134494317627515,22324,1562884675962024000,fcu,99139.99633789062,0.0
1648134494336783134,22325,1562884675982024000,fcu,99139.99633789062,0.0
1648134494356954784,22326,1562884676002024000,fcu,99139.99633789062,0.0
1648134494376778063,22327,1562884676022024000,fcu,99139.99633789062,0.0
1648134494397796599,22328,1562884676042197056,fcu,99139.99633789062,0.0
1648134494417459800,22329,1562884676062197056,fcu,99089.99633789062,0.0
1648134494437434616,22330,1562884676082197056,fcu,99089.99633789062,0.0
1648134494457220868,22331,1562884676100197056,fcu,99089.99633789062,0.0
1648134494476211036,22332,1562884676122197056,fcu,99089.99633789062,0.0
1648134494495241621,22333,1562884676141182464,fcu,99089.99633789062,0.0
1648134494516891360,22334,1562884676162182464,fcu,99109.99755859375,0.0
1648134494536216936,22335,1562884676180182464,fcu,99109.99755859375,0.0
1648134494556465949,22336,1562884676202182464,fcu,99109.99755859375,0.0
1648134494576920657,22337,1562884676222182464,fcu,99109.99755859375,0.0
1648134494595978424,22338,1562884676242356288,fcu,99109.99755859375,0.0
1648134494617102106,22339,1562884676262356288,fcu,99079.99877929688,0.0
1648134494636845999,22340,1562884676282356288,fcu,99079.99877929688,0.0
1648134494655770370,22341,1562884676300356288,fcu,99079.99877929688,0.0
1648134494675960043,22342,1562884676320356288,fcu,99079.99877929688,0.0
1648134494695365903,22343,1562884676341231872,fcu,99079.99877929688,0.0
1648134494717700731,22344,1562884676362231872,fcu,99169.9951171875,0.0
1648134494735053262,22345,1562884676380231872,fcu,99169.9951171875,0.0
1648134494755923515,22346,1562884676400231872,fcu,99169.9951171875,0.0
1648134494776269563,22347,1562884676422231872,fcu,99169.9951171875,0.0
1648134494795303603,22348,1562884676441287680,fcu,99169.9951171875,0.0
1648134494816879741,22349,1562884676462287680,fcu,99139.99633789062,0.0
1648134494837370523,22350,1562884676482287680,fcu,99139.99633789062,0.0
1648134494856400865,22351,1562884676502287680,fcu,99139.99633789062,0.0
1648134494875641715,22352,1562884676520287680,fcu,99139.99633789062,0.0
1648134494896752172,22353,1562884676542299968,fcu,99139.99633789062,0.0
1648134494916629733,22354,1562884676562299968,fcu,99150.0,0.0
1648134494934408347,22355,1562884676580299968,fcu,99150.0,0.0
1648134494957738861,22356,1562884676602299968,fcu,99150.0,0.0
1648134494975182337,22357,1562884676620299968,fcu,99150.0,0.0
1648134494996520689,22358,1562884676642062912,fcu,99150.0,0.0
1648134495016401393,22359,1562884676662062912,fcu,99159.99755859375,0.0
1648134495036855592,22360,1562884676682062912,fcu,99159.99755859375,0.0
1648134495058430477,22361,1562884676704062912,fcu,99159.99755859375,0.0
1648134495076955022,22362,1562884676722062912,fcu,99159.99755859375,0.0
1648134495096658024,22363,1562884676742056000,fcu,99159.99755859375,0.0
