%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1648134494422702415,1500,1500,1500,1500,1500,1500,1500,1500
1648134494642735315,1500,1500,1500,1500,1500,1500,1500,1500
1648134511943322844,1500,1500,1390,1500,1500,1500,1500,1500
1648134523943106377,1500,1500,1500,1500,1500,1500,1500,1500
1648134524202777697,1500,1500,1500,1500,1500,1500,1500,1500
1648134537072873380,1500,1500,1500,1500,1500,1500,1500,1500
1648134537273118122,1500,1500,1500,1500,1500,1500,1500,1500
1648134549935429674,1500,1500,1380,1500,1500,1500,1500,1500
1648134555852678269,1500,1500,1500,1500,1500,1500,1500,1500
1648134556022849591,1500,1500,1500,1500,1500,1500,1500,1500
1648134749693179661,1500,1500,1500,1500,1500,1500,1500,1500
1648134749872908096,1500,1500,1500,1500,1500,1500,1500,1500
1648134752688831092,1500,1500,1370,1500,1500,1500,1500,1500
1648134757722771806,1500,1500,1500,1500,1500,1500,1500,1500
1648134757933002507,1500,1500,1500,1500,1500,1500,1500,1500
1648134765523421949,1500,1500,1500,1500,1500,1500,1500,1500
1648134765672989143,1500,1500,1500,1500,1500,1500,1500,1500
1648134775940065456,1500,1500,1375,1500,1500,1500,1500,1500
1648134778622815036,1500,1500,1500,1500,1500,1500,1500,1500
1648134778812839651,1500,1500,1500,1500,1500,1500,1500,1500
1648134787983198031,1500,1500,1500,1500,1500,1500,1500,1500
1648134788162562073,1500,1500,1500,1500,1500,1500,1500,1500
1648134792472361895,1500,1500,1375,1500,1500,1500,1500,1500
1648134801282838887,1500,1500,1500,1500,1500,1500,1500,1500
1648134801422916214,1500,1500,1500,1500,1500,1500,1500,1500
1648134807783598704,1500,1500,1500,1500,1500,1500,1500,1500
1648134807942930454,1500,1500,1500,1500,1500,1500,1500,1500
1648134821547380114,1500,1500,1378,1500,1500,1500,1500,1500
1648134831532793149,1500,1500,1500,1500,1500,1500,1500,1500
1648134831702730849,1500,1500,1500,1500,1500,1500,1500,1500
