%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1648140257132717509,1500,1500,1500,1500,1500,1500,1500,1500
1648140257292105892,1500,1500,1500,1500,1500,1500,1500,1500
1648140264298115318,1500,1500,1433,1500,1500,1500,1500,1500
1648140264314972733,1500,1500,1433,1500,1500,1500,1500,1500
1648140264338325939,1500,1500,1433,1500,1500,1500,1500,1500
1648140264358377375,1500,1500,1433,1500,1500,1500,1500,1500
1648140264376421746,1500,1500,1433,1500,1500,1500,1500,1500
1648140264395561652,1500,1500,1433,1500,1500,1500,1500,1500
1648140264417534014,1500,1500,1433,1500,1500,1500,1500,1500
1648140264435890973,1500,1500,1433,1500,1500,1500,1500,1500
1648140264458688769,1500,1500,1433,1500,1500,1500,1500,1500
1648140264474773585,1500,1500,1433,1500,1500,1500,1500,1500
1648140264497965686,1500,1500,1433,1500,1500,1500,1500,1500
1648140264514994274,1500,1500,1433,1500,1500,1500,1500,1500
1648140264538460760,1500,1500,1433,1500,1500,1500,1500,1500
1648140264556050785,1500,1500,1433,1500,1500,1500,1500,1500
1648140264576204921,1500,1500,1433,1500,1500,1500,1500,1500
1648140264595756290,1500,1500,1433,1500,1500,1500,1500,1500
1648140264615130386,1500,1500,1433,1500,1500,1500,1500,1500
1648140264636625559,1500,1500,1433,1500,1500,1500,1500,1500
1648140264658403338,1500,1500,1433,1500,1500,1500,1500,1500
1648140264675687809,1500,1500,1433,1500,1500,1500,1500,1500
1648140264696073540,1500,1500,1433,1500,1500,1500,1500,1500
1648140264714479840,1500,1500,1433,1500,1500,1500,1500,1500
1648140264734047441,1500,1500,1433,1500,1500,1500,1500,1500
1648140264757622180,1500,1500,1433,1500,1500,1500,1500,1500
1648140264775473441,1500,1500,1433,1500,1500,1500,1500,1500
1648140264795080649,1500,1500,1433,1500,1500,1500,1500,1500
1648140264815950564,1500,1500,1433,1500,1500,1500,1500,1500
1648140264835949958,1500,1500,1433,1500,1500,1500,1500,1500
1648140264857482163,1500,1500,1433,1500,1500,1500,1500,1500
1648140264876885313,1500,1500,1433,1500,1500,1500,1500,1500
1648140264896928221,1500,1500,1433,1500,1500,1500,1500,1500
1648140264914989427,1500,1500,1433,1500,1500,1500,1500,1500
1648140264935970850,1500,1500,1433,1500,1500,1500,1500,1500
1648140264958137162,1500,1500,1433,1500,1500,1500,1500,1500
1648140264975515569,1500,1500,1433,1500,1500,1500,1500,1500
1648140264994916508,1500,1500,1433,1500,1500,1500,1500,1500
1648140265016669808,1500,1500,1433,1500,1500,1500,1500,1500
1648140265036097701,1500,1500,1433,1500,1500,1500,1500,1500
1648140265055811394,1500,1500,1433,1500,1500,1500,1500,1500
1648140265076704784,1500,1500,1433,1500,1500,1500,1500,1500
1648140265098504590,1500,1500,1433,1500,1500,1500,1500,1500
1648140265115856726,1500,1500,1433,1500,1500,1500,1500,1500
1648140265137603961,1500,1500,1433,1500,1500,1500,1500,1500
1648140265155264764,1500,1500,1433,1500,1500,1500,1500,1500
1648140265176830513,1500,1500,1433,1500,1500,1500,1500,1500
1648140265195788247,1500,1500,1433,1500,1500,1500,1500,1500
1648140265216175497,1500,1500,1433,1500,1500,1500,1500,1500
1648140265235888708,1500,1500,1433,1500,1500,1500,1500,1500
1648140265255455553,1500,1500,1433,1500,1500,1500,1500,1500
1648140265276139566,1500,1500,1434,1500,1500,1500,1500,1500
1648140265298173882,1500,1500,1434,1500,1500,1500,1500,1500
1648140265315065424,1500,1500,1434,1500,1500,1500,1500,1500
1648140265335400486,1500,1500,1434,1500,1500,1500,1500,1500
1648140265356760340,1500,1500,1434,1500,1500,1500,1500,1500
1648140265378230313,1500,1500,1434,1500,1500,1500,1500,1500
1648140265396334780,1500,1500,1434,1500,1500,1500,1500,1500
