%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1648139989222081568,1500,1500,1500,1500,1500,1500,1500,1500
1648139989391020145,1500,1500,1500,1500,1500,1500,1500,1500
1648139994660042233,1500,1500,1433,1500,1500,1500,1500,1500
1648139994679328019,1500,1500,1433,1500,1500,1500,1500,1500
1648139994697817613,1500,1500,1433,1500,1500,1500,1500,1500
1648139994716140406,1500,1500,1433,1500,1500,1500,1500,1500
1648139994736900352,1500,1500,1433,1500,1500,1500,1500,1500
1648139994751832513,1500,1500,1433,1500,1500,1500,1500,1500
1648139994776786473,1500,1500,1433,1500,1500,1500,1500,1500
1648139994796574046,1500,1500,1433,1500,1500,1500,1500,1500
1648139994817531006,1500,1500,1433,1500,1500,1500,1500,1500
1648139994838009299,1500,1500,1433,1500,1500,1500,1500,1500
1648139994857676204,1500,1500,1433,1500,1500,1500,1500,1500
1648139994878502481,1500,1500,1433,1500,1500,1500,1500,1500
1648139994895656291,1500,1500,1433,1500,1500,1500,1500,1500
1648139994916780911,1500,1500,1433,1500,1500,1500,1500,1500
1648139994935510456,1500,1500,1433,1500,1500,1500,1500,1500
1648139994957452803,1500,1500,1433,1500,1500,1500,1500,1500
1648139994978566683,1500,1500,1433,1500,1500,1500,1500,1500
1648139994996122877,1500,1500,1433,1500,1500,1500,1500,1500
1648139995017862776,1500,1500,1433,1500,1500,1500,1500,1500
1648139995040319753,1500,1500,1433,1500,1500,1500,1500,1500
1648139995062449596,1500,1500,1433,1500,1500,1500,1500,1500
1648139995083262225,1500,1500,1433,1500,1500,1500,1500,1500
1648139995105604848,1500,1500,1433,1500,1500,1500,1500,1500
1648139995126305194,1500,1500,1433,1500,1500,1500,1500,1500
1648139995145815759,1500,1500,1433,1500,1500,1500,1500,1500
1648139995171526634,1500,1500,1433,1500,1500,1500,1500,1500
1648139995187295718,1500,1500,1433,1500,1500,1500,1500,1500
1648139995205897758,1500,1500,1433,1500,1500,1500,1500,1500
1648139995226732640,1500,1500,1433,1500,1500,1500,1500,1500
1648139995250916898,1500,1500,1433,1500,1500,1500,1500,1500
1648139995271789603,1500,1500,1433,1500,1500,1500,1500,1500
1648139995286577604,1500,1500,1433,1500,1500,1500,1500,1500
1648139995307161730,1500,1500,1433,1500,1500,1500,1500,1500
1648139995330933819,1500,1500,1433,1500,1500,1500,1500,1500
1648139995350193637,1500,1500,1433,1500,1500,1500,1500,1500
1648139995371144795,1500,1500,1433,1500,1500,1500,1500,1500
1648139995389909992,1500,1500,1433,1500,1500,1500,1500,1500
1648139995411571305,1500,1500,1433,1500,1500,1500,1500,1500
1648139995431508077,1500,1500,1433,1500,1500,1500,1500,1500
1648139995451414686,1500,1500,1433,1500,1500,1500,1500,1500
1648139995472517339,1500,1500,1433,1500,1500,1500,1500,1500
1648139995489950192,1500,1500,1434,1500,1500,1500,1500,1500
1648139995512089144,1500,1500,1434,1500,1500,1500,1500,1500
1648139995527583400,1500,1500,1434,1500,1500,1500,1500,1500
1648139995544231418,1500,1500,1434,1500,1500,1500,1500,1500
1648139995565195163,1500,1500,1434,1500,1500,1500,1500,1500
1648139995586340380,1500,1500,1434,1500,1500,1500,1500,1500
1648139995605989317,1500,1500,1434,1500,1500,1500,1500,1500
1648139995629668810,1500,1500,1434,1500,1500,1500,1500,1500
1648139995647050494,1500,1500,1434,1500,1500,1500,1500,1500
1648139995667045237,1500,1500,1434,1500,1500,1500,1500,1500
1648139995689891827,1500,1500,1434,1500,1500,1500,1500,1500
1648139995711834609,1500,1500,1434,1500,1500,1500,1500,1500
1648139995734334181,1500,1500,1434,1500,1500,1500,1500,1500
1648139995755376986,1500,1500,1434,1500,1500,1500,1500,1500
1648139995771072532,1500,1500,1434,1500,1500,1500,1500,1500
1648139995792861750,1500,1500,1434,1500,1500,1500,1500,1500
1648139995815130091,1500,1500,1434,1500,1500,1500,1500,1500
1648139995835827779,1500,1500,1434,1500,1500,1500,1500,1500
1648139995852835832,1500,1500,1434,1500,1500,1500,1500,1500
1648139995872474375,1500,1500,1434,1500,1500,1500,1500,1500
1648139995891042388,1500,1500,1434,1500,1500,1500,1500,1500
1648139995911985262,1500,1500,1434,1500,1500,1500,1500,1500
1648139995935612403,1500,1500,1434,1500,1500,1500,1500,1500
1648139995952845238,1500,1500,1434,1500,1500,1500,1500,1500
1648139995967699089,1500,1500,1434,1500,1500,1500,1500,1500
1648139995987659369,1500,1500,1434,1500,1500,1500,1500,1500
1648139996009623116,1500,1500,1434,1500,1500,1500,1500,1500
1648139996027073134,1500,1500,1434,1500,1500,1500,1500,1500
1648139996046933654,1500,1500,1434,1500,1500,1500,1500,1500
1648139996071076645,1500,1500,1434,1500,1500,1500,1500,1500
1648139996093770260,1500,1500,1434,1500,1500,1500,1500,1500
1648139996111123509,1500,1500,1434,1500,1500,1500,1500,1500
1648139996126498039,1500,1500,1434,1500,1500,1500,1500,1500
1648139996150955406,1500,1500,1434,1500,1500,1500,1500,1500
1648139996170233075,1500,1500,1434,1500,1500,1500,1500,1500
1648139996189124785,1500,1500,1434,1500,1500,1500,1500,1500
1648139996211150696,1500,1500,1434,1500,1500,1500,1500,1500
1648139996231075544,1500,1500,1434,1500,1500,1500,1500,1500
1648139996250940223,1500,1500,1434,1500,1500,1500,1500,1500
1648139996266455646,1500,1500,1434,1500,1500,1500,1500,1500
1648139996284785680,1500,1500,1434,1500,1500,1500,1500,1500
1648139996303161496,1500,1500,1434,1500,1500,1500,1500,1500
1648139996325287752,1500,1500,1434,1500,1500,1500,1500,1500
1648139996348337599,1500,1500,1434,1500,1500,1500,1500,1500
1648139996366935100,1500,1500,1434,1500,1500,1500,1500,1500
1648139996386844196,1500,1500,1434,1500,1500,1500,1500,1500
1648139996410835931,1500,1500,1434,1500,1500,1500,1500,1500
1648139996430455250,1500,1500,1434,1500,1500,1500,1500,1500
1648139996452236646,1500,1500,1434,1500,1500,1500,1500,1500
1648139996471217481,1500,1500,1434,1500,1500,1500,1500,1500
1648139996493383706,1500,1500,1434,1500,1500,1500,1500,1500
1648139996515791056,1500,1500,1434,1500,1500,1500,1500,1500
1648139996535258051,1500,1500,1434,1500,1500,1500,1500,1500
1648139996556295935,1500,1500,1434,1500,1500,1500,1500,1500
1648139996572175799,1500,1500,1434,1500,1500,1500,1500,1500
1648139996596333860,1500,1500,1434,1500,1500,1500,1500,1500
1648139996615250307,1500,1500,1434,1500,1500,1500,1500,1500
1648139996636781059,1500,1500,1434,1500,1500,1500,1500,1500
1648139996656801861,1500,1500,1434,1500,1500,1500,1500,1500
1648139996679389752,1500,1500,1434,1500,1500,1500,1500,1500
1648139996697128692,1500,1500,1434,1500,1500,1500,1500,1500
1648139996718213471,1500,1500,1434,1500,1500,1500,1500,1500
1648139996737308411,1500,1500,1434,1500,1500,1500,1500,1500
1648139996756886336,1500,1500,1434,1500,1500,1500,1500,1500
1648139996776119582,1500,1500,1434,1500,1500,1500,1500,1500
1648139996795733066,1500,1500,1434,1500,1500,1500,1500,1500
1648139996815765907,1500,1500,1434,1500,1500,1500,1500,1500
1648139996837168493,1500,1500,1434,1500,1500,1500,1500,1500
