%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1648135428822548203,1500,1500,1500,1500,1500,1500,1500,1500
1648135428973126723,1500,1500,1500,1500,1500,1500,1500,1500
1648135433612161753,1500,1500,1391,1500,1500,1500,1500,1500
1648135433631598942,1500,1500,1391,1500,1500,1500,1500,1500
1648135433652014109,1500,1500,1391,1500,1500,1500,1500,1500
1648135433670695721,1500,1500,1391,1500,1500,1500,1500,1500
1648135433691234754,1500,1500,1391,1500,1500,1500,1500,1500
1648135433712805634,1500,1500,1391,1500,1500,1500,1500,1500
1648135433732688400,1500,1500,1391,1500,1500,1500,1500,1500
1648135433752607253,1500,1500,1391,1500,1500,1500,1500,1500
1648135433771357202,1500,1500,1391,1500,1500,1500,1500,1500
1648135433792919950,1500,1500,1391,1500,1500,1500,1500,1500
1648135433816389697,1500,1500,1391,1500,1500,1500,1500,1500
1648135433831458271,1500,1500,1391,1500,1500,1500,1500,1500
1648135433852583182,1500,1500,1391,1500,1500,1500,1500,1500
1648135433871348779,1500,1500,1391,1500,1500,1500,1500,1500
1648135433890577896,1500,1500,1391,1500,1500,1500,1500,1500
1648135433911822198,1500,1500,1391,1500,1500,1500,1500,1500
1648135433932405739,1500,1500,1391,1500,1500,1500,1500,1500
1648135433951714110,1500,1500,1391,1500,1500,1500,1500,1500
1648135433972902932,1500,1500,1391,1500,1500,1500,1500,1500
1648135433990774156,1500,1500,1391,1500,1500,1500,1500,1500
1648135434012356351,1500,1500,1391,1500,1500,1500,1500,1500
1648135434032653108,1500,1500,1391,1500,1500,1500,1500,1500
1648135434055082100,1500,1500,1391,1500,1500,1500,1500,1500
1648135434070672375,1500,1500,1391,1500,1500,1500,1500,1500
1648135434091930728,1500,1500,1391,1500,1500,1500,1500,1500
1648135434112288682,1500,1500,1391,1500,1500,1500,1500,1500
1648135434131815729,1500,1500,1391,1500,1500,1500,1500,1500
1648135434151086177,1500,1500,1391,1500,1500,1500,1500,1500
1648135434170753675,1500,1500,1391,1500,1500,1500,1500,1500
1648135434193721885,1500,1500,1392,1500,1500,1500,1500,1500
1648135434213285995,1500,1500,1392,1500,1500,1500,1500,1500
1648135434232075756,1500,1500,1392,1500,1500,1500,1500,1500
1648135434253248599,1500,1500,1392,1500,1500,1500,1500,1500
1648135434270743532,1500,1500,1392,1500,1500,1500,1500,1500
1648135434291996587,1500,1500,1392,1500,1500,1500,1500,1500
1648135434312486070,1500,1500,1392,1500,1500,1500,1500,1500
1648135434333223096,1500,1500,1392,1500,1500,1500,1500,1500
1648135434351947302,1500,1500,1392,1500,1500,1500,1500,1500
1648135434372087467,1500,1500,1392,1500,1500,1500,1500,1500
1648135434392238442,1500,1500,1394,1500,1500,1500,1500,1500
1648135434410955791,1500,1500,1394,1500,1500,1500,1500,1500
1648135434431883219,1500,1500,1394,1500,1500,1500,1500,1500
1648135434452088157,1500,1500,1394,1500,1500,1500,1500,1500
1648135434472159514,1500,1500,1394,1500,1500,1500,1500,1500
1648135434492992942,1500,1500,1394,1500,1500,1500,1500,1500
1648135434513214396,1500,1500,1394,1500,1500,1500,1500,1500
1648135434532361576,1500,1500,1394,1500,1500,1500,1500,1500
1648135434552520394,1500,1500,1394,1500,1500,1500,1500,1500
1648135434573106126,1500,1500,1394,1500,1500,1500,1500,1500
1648135434590862320,1500,1500,1396,1500,1500,1500,1500,1500
1648135434612901012,1500,1500,1396,1500,1500,1500,1500,1500
1648135434632078984,1500,1500,1396,1500,1500,1500,1500,1500
1648135434652351616,1500,1500,1396,1500,1500,1500,1500,1500
1648135434671026529,1500,1500,1396,1500,1500,1500,1500,1500
1648135434695204647,1500,1500,1398,1500,1500,1500,1500,1500
1648135434712668959,1500,1500,1398,1500,1500,1500,1500,1500
1648135434733117184,1500,1500,1398,1500,1500,1500,1500,1500
1648135434752407770,1500,1500,1398,1500,1500,1500,1500,1500
1648135434772338639,1500,1500,1398,1500,1500,1500,1500,1500
1648135434794237343,1500,1500,1399,1500,1500,1500,1500,1500
1648135434811921437,1500,1500,1399,1500,1500,1500,1500,1500
1648135434831663787,1500,1500,1399,1500,1500,1500,1500,1500
1648135434852914614,1500,1500,1399,1500,1500,1500,1500,1500
1648135434870999054,1500,1500,1399,1500,1500,1500,1500,1500
1648135434892091926,1500,1500,1400,1500,1500,1500,1500,1500
1648135434910994918,1500,1500,1400,1500,1500,1500,1500,1500
1648135434932909225,1500,1500,1400,1500,1500,1500,1500,1500
1648135434953092752,1500,1500,1400,1500,1500,1500,1500,1500
1648135434972271488,1500,1500,1400,1500,1500,1500,1500,1500
1648135434992704573,1500,1500,1402,1500,1500,1500,1500,1500
1648135435011443842,1500,1500,1402,1500,1500,1500,1500,1500
1648135435033175761,1500,1500,1402,1500,1500,1500,1500,1500
1648135435052630073,1500,1500,1402,1500,1500,1500,1500,1500
1648135435071402543,1500,1500,1402,1500,1500,1500,1500,1500
1648135435092199421,1500,1500,1404,1500,1500,1500,1500,1500
1648135435110950907,1500,1500,1404,1500,1500,1500,1500,1500
1648135435133521300,1500,1500,1404,1500,1500,1500,1500,1500
1648135435153713035,1500,1500,1404,1500,1500,1500,1500,1500
1648135435171970790,1500,1500,1404,1500,1500,1500,1500,1500
1648135435191217590,1500,1500,1406,1500,1500,1500,1500,1500
1648135435213010825,1500,1500,1406,1500,1500,1500,1500,1500
1648135435233162216,1500,1500,1406,1500,1500,1500,1500,1500
1648135435251903634,1500,1500,1406,1500,1500,1500,1500,1500
1648135435272116504,1500,1500,1406,1500,1500,1500,1500,1500
1648135435292916047,1500,1500,1407,1500,1500,1500,1500,1500
1648135435313122030,1500,1500,1407,1500,1500,1500,1500,1500
1648135435332223069,1500,1500,1407,1500,1500,1500,1500,1500
1648135435352309615,1500,1500,1407,1500,1500,1500,1500,1500
1648135435371788167,1500,1500,1407,1500,1500,1500,1500,1500
1648135435390967772,1500,1500,1410,1500,1500,1500,1500,1500
1648135435413958506,1500,1500,1410,1500,1500,1500,1500,1500
1648135435432892263,1500,1500,1410,1500,1500,1500,1500,1500
1648135435452005542,1500,1500,1410,1500,1500,1500,1500,1500
1648135435471337337,1500,1500,1410,1500,1500,1500,1500,1500
1648135435492752893,1500,1500,1411,1500,1500,1500,1500,1500
1648135435512093650,1500,1500,1411,1500,1500,1500,1500,1500
1648135435532175115,1500,1500,1411,1500,1500,1500,1500,1500
1648135435552794241,1500,1500,1411,1500,1500,1500,1500,1500
1648135435571741249,1500,1500,1411,1500,1500,1500,1500,1500
1648135435590813622,1500,1500,1413,1500,1500,1500,1500,1500
1648135435611782832,1500,1500,1413,1500,1500,1500,1500,1500
1648135435631974260,1500,1500,1413,1500,1500,1500,1500,1500
1648135435653358179,1500,1500,1413,1500,1500,1500,1500,1500
1648135435672515251,1500,1500,1413,1500,1500,1500,1500,1500
1648135435691908045,1500,1500,1415,1500,1500,1500,1500,1500
1648135435712369851,1500,1500,1415,1500,1500,1500,1500,1500
