%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1648135162353014819,1500,1500,1500,1500,1500,1500,1500,1500
1648135162533592473,1500,1500,1500,1500,1500,1500,1500,1500
1648135167498093166,1500,1500,1411,1500,1500,1500,1500,1500
1648135167520222067,1500,1500,1411,1500,1500,1500,1500,1500
1648135167539392885,1500,1500,1411,1500,1500,1500,1500,1500
1648135167562910418,1500,1500,1411,1500,1500,1500,1500,1500
1648135167580116703,1500,1500,1411,1500,1500,1500,1500,1500
1648135167599919148,1500,1500,1411,1500,1500,1500,1500,1500
1648135167619796643,1500,1500,1411,1500,1500,1500,1500,1500
1648135167638725857,1500,1500,1411,1500,1500,1500,1500,1500
1648135167659146187,1500,1500,1411,1500,1500,1500,1500,1500
1648135167680673102,1500,1500,1411,1500,1500,1500,1500,1500
1648135167700870957,1500,1500,1411,1500,1500,1500,1500,1500
1648135167719272496,1500,1500,1411,1500,1500,1500,1500,1500
1648135167738628514,1500,1500,1411,1500,1500,1500,1500,1500
1648135167759186247,1500,1500,1411,1500,1500,1500,1500,1500
1648135167781002040,1500,1500,1411,1500,1500,1500,1500,1500
1648135167800779249,1500,1500,1411,1500,1500,1500,1500,1500
1648135167819907829,1500,1500,1411,1500,1500,1500,1500,1500
1648135167837815823,1500,1500,1411,1500,1500,1500,1500,1500
1648135167858912664,1500,1500,1410,1500,1500,1500,1500,1500
1648135167880786885,1500,1500,1410,1500,1500,1500,1500,1500
1648135167900809213,1500,1500,1410,1500,1500,1500,1500,1500
1648135167919768467,1500,1500,1410,1500,1500,1500,1500,1500
1648135167938819713,1500,1500,1410,1500,1500,1500,1500,1500
1648135167958504270,1500,1500,1411,1500,1500,1500,1500,1500
1648135167980631210,1500,1500,1411,1500,1500,1500,1500,1500
1648135167997962141,1500,1500,1411,1500,1500,1500,1500,1500
1648135168019759051,1500,1500,1411,1500,1500,1500,1500,1500
1648135168038659112,1500,1500,1411,1500,1500,1500,1500,1500
1648135168059566577,1500,1500,1411,1500,1500,1500,1500,1500
1648135168081801410,1500,1500,1411,1500,1500,1500,1500,1500
1648135168100979646,1500,1500,1411,1500,1500,1500,1500,1500
1648135168119634087,1500,1500,1411,1500,1500,1500,1500,1500
1648135168139548309,1500,1500,1411,1500,1500,1500,1500,1500
1648135168158759392,1500,1500,1412,1500,1500,1500,1500,1500
1648135168179911815,1500,1500,1412,1500,1500,1500,1500,1500
1648135168198496882,1500,1500,1412,1500,1500,1500,1500,1500
1648135168218414098,1500,1500,1412,1500,1500,1500,1500,1500
1648135168237950366,1500,1500,1412,1500,1500,1500,1500,1500
1648135168259128314,1500,1500,1413,1500,1500,1500,1500,1500
1648135168279376051,1500,1500,1413,1500,1500,1500,1500,1500
1648135168300406741,1500,1500,1413,1500,1500,1500,1500,1500
1648135168321004528,1500,1500,1413,1500,1500,1500,1500,1500
1648135168340032986,1500,1500,1413,1500,1500,1500,1500,1500
1648135168359788107,1500,1500,1414,1500,1500,1500,1500,1500
1648135168379863052,1500,1500,1414,1500,1500,1500,1500,1500
1648135168399289640,1500,1500,1414,1500,1500,1500,1500,1500
1648135168419286627,1500,1500,1414,1500,1500,1500,1500,1500
1648135168440275696,1500,1500,1414,1500,1500,1500,1500,1500
1648135168462281003,1500,1500,1414,1500,1500,1500,1500,1500
1648135168479127717,1500,1500,1414,1500,1500,1500,1500,1500
1648135168500188744,1500,1500,1414,1500,1500,1500,1500,1500
1648135168521159598,1500,1500,1414,1500,1500,1500,1500,1500
1648135168540077949,1500,1500,1414,1500,1500,1500,1500,1500
1648135168560063831,1500,1500,1415,1500,1500,1500,1500,1500
1648135168579593523,1500,1500,1415,1500,1500,1500,1500,1500
1648135168598765002,1500,1500,1415,1500,1500,1500,1500,1500
1648135168618265880,1500,1500,1415,1500,1500,1500,1500,1500
1648135168639044974,1500,1500,1415,1500,1500,1500,1500,1500
1648135168658895282,1500,1500,1416,1500,1500,1500,1500,1500
1648135168680255885,1500,1500,1416,1500,1500,1500,1500,1500
1648135168698672183,1500,1500,1416,1500,1500,1500,1500,1500
1648135168719972676,1500,1500,1416,1500,1500,1500,1500,1500
1648135168738830405,1500,1500,1416,1500,1500,1500,1500,1500
1648135168760583298,1500,1500,1417,1500,1500,1500,1500,1500
1648135168781089801,1500,1500,1417,1500,1500,1500,1500,1500
1648135168801051851,1500,1500,1417,1500,1500,1500,1500,1500
1648135168819220548,1500,1500,1417,1500,1500,1500,1500,1500
1648135168839065483,1500,1500,1417,1500,1500,1500,1500,1500
1648135168858757489,1500,1500,1417,1500,1500,1500,1500,1500
1648135168880501365,1500,1500,1417,1500,1500,1500,1500,1500
1648135168900603380,1500,1500,1417,1500,1500,1500,1500,1500
1648135168919361893,1500,1500,1417,1500,1500,1500,1500,1500
1648135168938921222,1500,1500,1417,1500,1500,1500,1500,1500
1648135168958998714,1500,1500,1419,1500,1500,1500,1500,1500
1648135168981293567,1500,1500,1419,1500,1500,1500,1500,1500
1648135169000874743,1500,1500,1419,1500,1500,1500,1500,1500
1648135169019883789,1500,1500,1419,1500,1500,1500,1500,1500
1648135169039259785,1500,1500,1419,1500,1500,1500,1500,1500
1648135169058502895,1500,1500,1419,1500,1500,1500,1500,1500
1648135169080720725,1500,1500,1419,1500,1500,1500,1500,1500
1648135169099659303,1500,1500,1419,1500,1500,1500,1500,1500
1648135169120131308,1500,1500,1419,1500,1500,1500,1500,1500
1648135169138842544,1500,1500,1419,1500,1500,1500,1500,1500
1648135169161950615,1500,1500,1421,1500,1500,1500,1500,1500
1648135169181639562,1500,1500,1421,1500,1500,1500,1500,1500
1648135169198274289,1500,1500,1421,1500,1500,1500,1500,1500
1648135169219907177,1500,1500,1421,1500,1500,1500,1500,1500
1648135169239767033,1500,1500,1421,1500,1500,1500,1500,1500
1648135169259312908,1500,1500,1421,1500,1500,1500,1500,1500
1648135169280770466,1500,1500,1421,1500,1500,1500,1500,1500
1648135169299911509,1500,1500,1421,1500,1500,1500,1500,1500
1648135169320380254,1500,1500,1421,1500,1500,1500,1500,1500
1648135169338825569,1500,1500,1421,1500,1500,1500,1500,1500
1648135169358548249,1500,1500,1423,1500,1500,1500,1500,1500
1648135169380362225,1500,1500,1423,1500,1500,1500,1500,1500
1648135169398299039,1500,1500,1423,1500,1500,1500,1500,1500
1648135169419365530,1500,1500,1423,1500,1500,1500,1500,1500
1648135169438958896,1500,1500,1423,1500,1500,1500,1500,1500
1648135169459406488,1500,1500,1424,1500,1500,1500,1500,1500
1648135169478480287,1500,1500,1424,1500,1500,1500,1500,1500
1648135169500557471,1500,1500,1424,1500,1500,1500,1500,1500
1648135169520355451,1500,1500,1424,1500,1500,1500,1500,1500
1648135169539686354,1500,1500,1424,1500,1500,1500,1500,1500
1648135169557260733,1500,1500,1425,1500,1500,1500,1500,1500
1648135169580115031,1500,1500,1425,1500,1500,1500,1500,1500
1648135169600259495,1500,1500,1425,1500,1500,1500,1500,1500
1648135169619025539,1500,1500,1425,1500,1500,1500,1500,1500
1648135169640302433,1500,1500,1425,1500,1500,1500,1500,1500
1648135169657958114,1500,1500,1427,1500,1500,1500,1500,1500
1648135169677826390,1500,1500,1427,1500,1500,1500,1500,1500
1648135169699122384,1500,1500,1427,1500,1500,1500,1500,1500
1648135169716934935,1500,1500,1427,1500,1500,1500,1500,1500
1648135169740072169,1500,1500,1427,1500,1500,1500,1500,1500
1648135169758195364,1500,1500,1428,1500,1500,1500,1500,1500
1648135169780459834,1500,1500,1428,1500,1500,1500,1500,1500
1648135169800347470,1500,1500,1428,1500,1500,1500,1500,1500
1648135169819348659,1500,1500,1428,1500,1500,1500,1500,1500
1648135169840159581,1500,1500,1428,1500,1500,1500,1500,1500
1648135169860642759,1500,1500,1429,1500,1500,1500,1500,1500
1648135169879668974,1500,1500,1429,1500,1500,1500,1500,1500
1648135169900086711,1500,1500,1429,1500,1500,1500,1500,1500
1648135169919178542,1500,1500,1429,1500,1500,1500,1500,1500
1648135169940191383,1500,1500,1429,1500,1500,1500,1500,1500
1648135169960868105,1500,1500,1430,1500,1500,1500,1500,1500
1648135169980492607,1500,1500,1430,1500,1500,1500,1500,1500
1648135169999695179,1500,1500,1430,1500,1500,1500,1500,1500
1648135170020227686,1500,1500,1430,1500,1500,1500,1500,1500
1648135170039274415,1500,1500,1430,1500,1500,1500,1500,1500
1648135170060172326,1500,1500,1431,1500,1500,1500,1500,1500
1648135170080793943,1500,1500,1431,1500,1500,1500,1500,1500
1648135170100144238,1500,1500,1431,1500,1500,1500,1500,1500
1648135170120330655,1500,1500,1431,1500,1500,1500,1500,1500
1648135170139727991,1500,1500,1431,1500,1500,1500,1500,1500
1648135170159596069,1500,1500,1432,1500,1500,1500,1500,1500
1648135170181089210,1500,1500,1432,1500,1500,1500,1500,1500
1648135170198554089,1500,1500,1432,1500,1500,1500,1500,1500
1648135170218147552,1500,1500,1432,1500,1500,1500,1500,1500
1648135170239602110,1500,1500,1432,1500,1500,1500,1500,1500
1648135170259574356,1500,1500,1434,1500,1500,1500,1500,1500
1648135170280330069,1500,1500,1434,1500,1500,1500,1500,1500
1648135170298138213,1500,1500,1434,1500,1500,1500,1500,1500
1648135170319557466,1500,1500,1434,1500,1500,1500,1500,1500
1648135170338639150,1500,1500,1434,1500,1500,1500,1500,1500
1648135170357316002,1500,1500,1434,1500,1500,1500,1500,1500
1648135170380994517,1500,1500,1434,1500,1500,1500,1500,1500
1648135170400114171,1500,1500,1434,1500,1500,1500,1500,1500
1648135170419053477,1500,1500,1434,1500,1500,1500,1500,1500
1648135170438789414,1500,1500,1434,1500,1500,1500,1500,1500
1648135170460802016,1500,1500,1435,1500,1500,1500,1500,1500
1648135170481008631,1500,1500,1435,1500,1500,1500,1500,1500
1648135170498470839,1500,1500,1435,1500,1500,1500,1500,1500
1648135170519906673,1500,1500,1435,1500,1500,1500,1500,1500
1648135170539033100,1500,1500,1435,1500,1500,1500,1500,1500
1648135170557567522,1500,1500,1437,1500,1500,1500,1500,1500
1648135170580539583,1500,1500,1437,1500,1500,1500,1500,1500
1648135170598693131,1500,1500,1437,1500,1500,1500,1500,1500
1648135170620120026,1500,1500,1437,1500,1500,1500,1500,1500
1648135170639273912,1500,1500,1437,1500,1500,1500,1500,1500
1648135170659183215,1500,1500,1438,1500,1500,1500,1500,1500
1648135170680703370,1500,1500,1438,1500,1500,1500,1500,1500
1648135170701648695,1500,1500,1438,1500,1500,1500,1500,1500
1648135170720999984,1500,1500,1438,1500,1500,1500,1500,1500
1648135170740036100,1500,1500,1438,1500,1500,1500,1500,1500
1648135170757431955,1500,1500,1438,1500,1500,1500,1500,1500
1648135170778835034,1500,1500,1438,1500,1500,1500,1500,1500
1648135170800294983,1500,1500,1438,1500,1500,1500,1500,1500
1648135170819681776,1500,1500,1438,1500,1500,1500,1500,1500
1648135170839471582,1500,1500,1438,1500,1500,1500,1500,1500
1648135170859857325,1500,1500,1440,1500,1500,1500,1500,1500
1648135170877702384,1500,1500,1440,1500,1500,1500,1500,1500
1648135170901118557,1500,1500,1440,1500,1500,1500,1500,1500
1648135170920688442,1500,1500,1440,1500,1500,1500,1500,1500
1648135170939804686,1500,1500,1440,1500,1500,1500,1500,1500
1648135170960090500,1500,1500,1440,1500,1500,1500,1500,1500
1648135170981552916,1500,1500,1440,1500,1500,1500,1500,1500
1648135170997552152,1500,1500,1440,1500,1500,1500,1500,1500
1648135171020476693,1500,1500,1440,1500,1500,1500,1500,1500
1648135171039825206,1500,1500,1440,1500,1500,1500,1500,1500
1648135171059701174,1500,1500,1441,1500,1500,1500,1500,1500
1648135171081531114,1500,1500,1441,1500,1500,1500,1500,1500
1648135171100720284,1500,1500,1441,1500,1500,1500,1500,1500
1648135171121099616,1500,1500,1441,1500,1500,1500,1500,1500
1648135171140049940,1500,1500,1441,1500,1500,1500,1500,1500
1648135171160698806,1500,1500,1442,1500,1500,1500,1500,1500
1648135171180099614,1500,1500,1442,1500,1500,1500,1500,1500
1648135171199702545,1500,1500,1442,1500,1500,1500,1500,1500
1648135171217807682,1500,1500,1442,1500,1500,1500,1500,1500
1648135171238440677,1500,1500,1442,1500,1500,1500,1500,1500
1648135171258195906,1500,1500,1443,1500,1500,1500,1500,1500
1648135171279663284,1500,1500,1443,1500,1500,1500,1500,1500
1648135171299672680,1500,1500,1443,1500,1500,1500,1500,1500
1648135171321344516,1500,1500,1443,1500,1500,1500,1500,1500
1648135171339738989,1500,1500,1443,1500,1500,1500,1500,1500
1648135171358783651,1500,1500,1444,1500,1500,1500,1500,1500
1648135171377344967,1500,1500,1444,1500,1500,1500,1500,1500
1648135171398856558,1500,1500,1444,1500,1500,1500,1500,1500
1648135171418047752,1500,1500,1444,1500,1500,1500,1500,1500
1648135171437540988,1500,1500,1444,1500,1500,1500,1500,1500
1648135171457880791,1500,1500,1444,1500,1500,1500,1500,1500
1648135171479633807,1500,1500,1444,1500,1500,1500,1500,1500
1648135171497154970,1500,1500,1444,1500,1500,1500,1500,1500
1648135171518058293,1500,1500,1444,1500,1500,1500,1500,1500
1648135171538222459,1500,1500,1444,1500,1500,1500,1500,1500
1648135171557316435,1500,1500,1445,1500,1500,1500,1500,1500
1648135171577776290,1500,1500,1445,1500,1500,1500,1500,1500
1648135171597188491,1500,1500,1445,1500,1500,1500,1500,1500
1648135171617896548,1500,1500,1445,1500,1500,1500,1500,1500
1648135171637503992,1500,1500,1445,1500,1500,1500,1500,1500
1648135171657253008,1500,1500,1445,1500,1500,1500,1500,1500
1648135171678043483,1500,1500,1445,1500,1500,1500,1500,1500
1648135171699343573,1500,1500,1445,1500,1500,1500,1500,1500
1648135171719299126,1500,1500,1445,1500,1500,1500,1500,1500
1648135171737079283,1500,1500,1445,1500,1500,1500,1500,1500
1648135171758674926,1500,1500,1446,1500,1500,1500,1500,1500
1648135171778641783,1500,1500,1446,1500,1500,1500,1500,1500
1648135171799629704,1500,1500,1446,1500,1500,1500,1500,1500
