%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1648140440244746594,1500,1500,1500,1500,1500,1500,1500,1500
1648140440405646012,1500,1500,1500,1500,1500,1500,1500,1500
1648140444903558618,1500,1500,1442,1500,1500,1500,1500,1500
1648140444927444583,1500,1500,1442,1500,1500,1500,1500,1500
1648140444947057979,1500,1500,1442,1500,1500,1500,1500,1500
1648140444968050419,1500,1500,1442,1500,1500,1500,1500,1500
1648140444991803492,1500,1500,1442,1500,1500,1500,1500,1500
1648140445014028915,1500,1500,1442,1500,1500,1500,1500,1500
1648140445034147971,1500,1500,1442,1500,1500,1500,1500,1500
1648140445054840490,1500,1500,1442,1500,1500,1500,1500,1500
1648140445074175173,1500,1500,1442,1500,1500,1500,1500,1500
1648140445096583392,1500,1500,1442,1500,1500,1500,1500,1500
1648140445116390589,1500,1500,1442,1500,1500,1500,1500,1500
1648140445136238479,1500,1500,1442,1500,1500,1500,1500,1500
1648140445154126365,1500,1500,1442,1500,1500,1500,1500,1500
1648140445175010595,1500,1500,1442,1500,1500,1500,1500,1500
1648140445195343151,1500,1500,1442,1500,1500,1500,1500,1500
1648140445216497762,1500,1500,1442,1500,1500,1500,1500,1500
1648140445237249517,1500,1500,1442,1500,1500,1500,1500,1500
1648140445254406896,1500,1500,1442,1500,1500,1500,1500,1500
1648140445275901975,1500,1500,1442,1500,1500,1500,1500,1500
1648140445302399330,1500,1500,1442,1500,1500,1500,1500,1500
1648140445324359969,1500,1500,1442,1500,1500,1500,1500,1500
1648140445346916228,1500,1500,1442,1500,1500,1500,1500,1500
1648140445366844228,1500,1500,1442,1500,1500,1500,1500,1500
1648140445385851414,1500,1500,1442,1500,1500,1500,1500,1500
1648140445406127229,1500,1500,1442,1500,1500,1500,1500,1500
1648140445426355822,1500,1500,1442,1500,1500,1500,1500,1500
1648140445448211175,1500,1500,1442,1500,1500,1500,1500,1500
1648140445468104646,1500,1500,1442,1500,1500,1500,1500,1500
1648140445488803736,1500,1500,1442,1500,1500,1500,1500,1500
1648140445508750899,1500,1500,1442,1500,1500,1500,1500,1500
1648140445528649868,1500,1500,1442,1500,1500,1500,1500,1500
1648140445549970471,1500,1500,1442,1500,1500,1500,1500,1500
1648140445568417531,1500,1500,1442,1500,1500,1500,1500,1500
1648140445594719086,1500,1500,1442,1500,1500,1500,1500,1500
1648140445613445297,1500,1500,1442,1500,1500,1500,1500,1500
1648140445633024130,1500,1500,1442,1500,1500,1500,1500,1500
1648140445651012883,1500,1500,1442,1500,1500,1500,1500,1500
1648140445675136887,1500,1500,1442,1500,1500,1500,1500,1500
1648140445695976340,1500,1500,1442,1500,1500,1500,1500,1500
1648140445718104230,1500,1500,1442,1500,1500,1500,1500,1500
1648140445738959095,1500,1500,1442,1500,1500,1500,1500,1500
1648140445760052557,1500,1500,1442,1500,1500,1500,1500,1500
1648140445780642586,1500,1500,1442,1500,1500,1500,1500,1500
1648140445798974749,1500,1500,1442,1500,1500,1500,1500,1500
1648140445818713465,1500,1500,1442,1500,1500,1500,1500,1500
1648140445839343801,1500,1500,1442,1500,1500,1500,1500,1500
1648140445860756570,1500,1500,1442,1500,1500,1500,1500,1500
1648140445885398065,1500,1500,1442,1500,1500,1500,1500,1500
1648140445906028949,1500,1500,1442,1500,1500,1500,1500,1500
1648140445925470011,1500,1500,1442,1500,1500,1500,1500,1500
1648140445946613204,1500,1500,1442,1500,1500,1500,1500,1500
1648140445968686800,1500,1500,1442,1500,1500,1500,1500,1500
1648140445993912538,1500,1500,1442,1500,1500,1500,1500,1500
1648140446015848710,1500,1500,1442,1500,1500,1500,1500,1500
1648140446033887666,1500,1500,1442,1500,1500,1500,1500,1500
1648140446053243327,1500,1500,1442,1500,1500,1500,1500,1500
1648140446075171040,1500,1500,1442,1500,1500,1500,1500,1500
1648140446094959271,1500,1500,1442,1500,1500,1500,1500,1500
1648140446114480480,1500,1500,1442,1500,1500,1500,1500,1500
1648140446134832672,1500,1500,1442,1500,1500,1500,1500,1500
1648140446148219152,1500,1500,1442,1500,1500,1500,1500,1500
1648140446169758188,1500,1500,1442,1500,1500,1500,1500,1500
1648140446194811306,1500,1500,1442,1500,1500,1500,1500,1500
1648140446215069833,1500,1500,1442,1500,1500,1500,1500,1500
1648140446238588985,1500,1500,1442,1500,1500,1500,1500,1500
1648140446258575613,1500,1500,1442,1500,1500,1500,1500,1500
1648140446281179287,1500,1500,1442,1500,1500,1500,1500,1500
1648140446299621951,1500,1500,1442,1500,1500,1500,1500,1500
1648140446320611209,1500,1500,1442,1500,1500,1500,1500,1500
1648140446341639415,1500,1500,1442,1500,1500,1500,1500,1500
1648140446360372682,1500,1500,1442,1500,1500,1500,1500,1500
1648140446385113335,1500,1500,1442,1500,1500,1500,1500,1500
1648140446400856803,1500,1500,1442,1500,1500,1500,1500,1500
1648140446420764251,1500,1500,1442,1500,1500,1500,1500,1500
1648140446440896956,1500,1500,1442,1500,1500,1500,1500,1500
1648140446463245739,1500,1500,1442,1500,1500,1500,1500,1500
1648140446480870313,1500,1500,1442,1500,1500,1500,1500,1500
1648140446501579945,1500,1500,1442,1500,1500,1500,1500,1500
1648140446521293174,1500,1500,1442,1500,1500,1500,1500,1500
1648140446541096137,1500,1500,1442,1500,1500,1500,1500,1500
1648140446565925907,1500,1500,1442,1500,1500,1500,1500,1500
1648140446587446607,1500,1500,1442,1500,1500,1500,1500,1500
1648140446609642560,1500,1500,1442,1500,1500,1500,1500,1500
1648140446630544811,1500,1500,1442,1500,1500,1500,1500,1500
1648140446651774892,1500,1500,1442,1500,1500,1500,1500,1500
1648140446670910421,1500,1500,1442,1500,1500,1500,1500,1500
1648140446690348112,1500,1500,1442,1500,1500,1500,1500,1500
